分類,子分類,項目,來自公司報告,單位,年份,數值
G,營運狀況,營業收入,,仟元,2020,1259442
G,營運狀況,營業成本,,仟元,2020,861414
G,營運狀況,營業費用,,仟元,2020,284188
G,營運狀況,淨利,,仟元,2020,117284
G,營運狀況,營業收入,,仟元,2019,1437581
G,營運狀況,營業成本,,仟元,2019,991453
G,營運狀況,營業費用,,仟元,2019,310478
G,營運狀況,淨利,,仟元,2019,90678
G,營運狀況,營業收入,,仟元,2018,1217575
G,營運狀況,營業成本,,仟元,2018,805152
G,營運狀況,營業費用,,仟元,2018,236384
G,營運狀況,淨利,,仟元,2018,146469
G,營運狀況,營業收入,,仟元,2017,1273827
G,營運狀況,營業成本,,仟元,2017,820291
G,營運狀況,營業費用,,仟元,2017,213728
G,營運狀況,淨利,,仟元,2017,204447
G,營運狀況,營業收入,,仟元,2016,1182932
G,營運狀況,營業成本,,仟元,2016,803173
G,營運狀況,營業費用,,仟元,2016,198469
G,營運狀況,淨利,,仟元,2016,160518
