年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,39615.74,91.83,24777.42,89.73,14838.32,95.56,
2019,43141.96,100,27614,100,15527.96,100,
2021,36089.52,83.65,21940.84,79.46,14148.68,91.12,T
2022,32563.3,75.48,19104.26,69.18,13459.04,86.68,T
2023,29037.08,67.31,16267.68,58.91,12769.4,82.23,T
2024,25510.86,59.13,13431.1,48.64,12079.76,77.79,T
2025,21984.64,50.96,10594.52,38.37,11390.12,73.35,T
2026,18458.42,42.79,7757.94,28.09,10700.48,68.91,T
2027,14932.2,34.61,4921.36,17.82,10010.84,64.47,T
2028,11405.98,26.44,2084.78,7.55,9321.2,60.03,T
2029,7879.76,18.26,0,0,8631.56,55.59,T
2030,4353.54,10.09,0,0,7941.92,51.15,T
2031,827.32,1.92,0,0,7252.28,46.7,T
2032,0,0,0,0,6562.64,42.26,T
2033,0,0,0,0,5873,37.82,T
2034,0,0,0,0,5183.36,33.38,T
2035,0,0,0,0,4493.72,28.94,T
2036,0,0,0,0,3804.08,24.5,T
2037,0,0,0,0,3114.44,20.06,T
2038,0,0,0,0,2424.8,15.62,T
2039,0,0,0,0,1735.16,11.17,T
2040,0,0,0,0,1045.52,6.73,T
2041,0,0,0,0,355.88,2.29,T
2042,0,0,0,0,0,0,T
2043,0,0,0,0,0,0,T
2044,0,0,0,0,0,0,T
2045,0,0,0,0,0,0,T
2046,0,0,0,0,0,0,T
2047,0,0,0,0,0,0,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
