分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,27614
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,15527.96
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,43141.96
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,24777.42
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,14838.32
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,39615.74
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,8.708
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,1.386
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.264
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,4.338
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,1.978
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,2.32
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,14.809000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,8.563
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,2.172
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,28.386000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,12.109000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,1.0870000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,37.816
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,15.939
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,1.6110000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,19.138
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,8.396
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.715
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,44.83200000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,6.768
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.6819999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,12.454
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,3.866
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.958
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,36.017
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,3.4059999999999997
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,1.988
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,20.243
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,2.754
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.465
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,29.138
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,5.366
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,2.0789999999999997
E,空氣污染物申報-有害空氣污染物,重金屬,,,2019,0.01
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,26.250999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,3.4429999999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1.7779999999999998
E,空氣污染物申報-有害空氣污染物,重金屬,,,2020,0.008
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,53.525999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,2.364
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,3.4320000000000004
E,空氣污染物申報-有害空氣污染物,重金屬,,,2021,0.012
E,環境違規,違反環境法規金額-misc,,元,2011,6000
