分類,子分類,項目,來自公司報告,單位,年份,數值
G,資本額,資本額,,元,2020,234306000
G,資本額,資本額,,元,2019,234306000
G,營運狀況,營業收入,,仟元,2020,2515213
G,營運狀況,營業成本,,仟元,2020,981526
G,營運狀況,營業費用,,仟元,2020,1210357
G,營運狀況,淨利,,仟元,2020,208614
G,營運狀況,營業收入,,仟元,2019,2577763
G,營運狀況,營業成本,,仟元,2019,911165
G,營運狀況,營業費用,,仟元,2019,1248305
G,營運狀況,淨利,,仟元,2019,300819
G,營運狀況,營業收入,,仟元,2018,2592936
G,營運狀況,營業成本,,仟元,2018,994286
G,營運狀況,營業費用,,仟元,2018,1291011
G,營運狀況,淨利,,仟元,2018,240537
G,營運狀況,營業收入,,仟元,2017,2568538
G,營運狀況,營業成本,,仟元,2017,862028
G,營運狀況,營業費用,,仟元,2017,1301930
G,營運狀況,淨利,,仟元,2017,305383
G,營運狀況,營業收入,,仟元,2016,2563304
G,營運狀況,營業成本,,仟元,2016,805285
G,營運狀況,營業費用,,仟元,2016,1295338
G,營運狀況,淨利,,仟元,2016,381135
