分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,864166.2036
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,163820.6804
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,1027986.8840000001
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,1703474
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,204332
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,1758458
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,1907806
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2022,796727
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2022,192690
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2022,1331732
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2022,989417
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,1155015.06
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,182267
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,7605.499988284199
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,1337282.06
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,1772465.74
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,142954.39
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2019,6465.750918829787
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2019,1915420.13
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,1947142.4
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,169324.75
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2018,5496.87166918235
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2018,2116467.15
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2017,1974799.83
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2017,199834
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2017,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2017,6523.385490207725
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2017,2174633.83
E,能源使用狀況,總用電量,true,度（KWh）,2022,256021190.48169363
E,能源使用狀況,再生能源設置量,true,,2022,NA
E,能源使用狀況,再生能源發電量,true,度（KWh）,2022,278560
E,能源使用狀況,總用電量,true,度（KWh）,2021,258501926.7912636
E,能源使用狀況,再生能源設置量,true,,2021,NA
E,能源使用狀況,再生能源發電量,true,度（KWh）,2021,1320844
E,能源使用狀況,總用電量,true,度,2020,151798470.833
E,能源使用狀況,再生能源設置量,true,,2020,無揭露
E,能源使用狀況,再生能源發電量,true,度,2020,291552
E,能源使用狀況,能源密集度,true,度/億元,2020,863320.6880393961
E,能源使用狀況,總用電量,true,度,2019,206981474.722
E,能源使用狀況,再生能源設置量,true,,2019,無揭露
E,能源使用狀況,再生能源發電量,true,度,2019,187680
E,能源使用狀況,能源密集度,true,度/億元,2019,698693.0122554972
E,能源使用狀況,總用電量,true,度,2018,208285591.667
E,能源使用狀況,再生能源設置量,true,,2018,NA
E,能源使用狀況,再生能源發電量,true,,2018,NA
E,能源使用狀況,能源密集度,true,度/億元,2018,540957.6840978683
E,能源使用狀況,總用電量,true,度,2017,228598708
E,能源使用狀況,再生能源設置量,true,,2017,NA
E,能源使用狀況,再生能源發電量,true,,2017,NA
E,能源使用狀況,能源密集度,true,度/億元,2017,685741.8818171483
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,"1.2005年(基準年)：全年總碳排量2,450,918公噸CO2e。2.2025年(短期目標達成年)：全年總碳排量較基準年減20%。3.2030年(中期目標達成年)：全年總碳排量較基準年減50%。4.2050年(長期目標達成年)：全年總碳排量較基準年減100%。"
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有淨零目標有減碳目標
E,水資源,總取水量,true,,2022,5936000
E,水資源,回收水量,true,,2022,NA
E,水資源,耗用水量,true,,2022,3572000
E,水資源,排放水量,true,,2022,2364000
E,水資源,總取水量,true,,2021,8856000
E,水資源,回收水量,true,,2021,NA
E,水資源,耗用水量,true,,2021,5568000
E,水資源,排放水量,true,,2021,3288000
E,水資源,總取水量,true,噸,2020,7337000
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,噸,2020,4902000
E,水資源,排放水量,true,噸,2020,2437000
E,水資源,總取水量,true,噸,2019,11640000
E,水資源,回收水量,true,,2019,無揭露
E,水資源,耗用水量,true,噸,2019,7497000
E,水資源,排放水量,true,噸,2019,4144000
E,水資源,總取水量,true,噸,2018,11908000
E,水資源,回收水量,true,,2018,無揭露
E,水資源,耗用水量,true,噸,2018,7931000
E,水資源,排放水量,true,噸,2018,3976000
E,水資源,總取水量,true,噸,2017,9911000
E,水資源,回收水量,true,,2017,無揭露
E,水資源,耗用水量,true,噸,2017,5901000
E,水資源,排放水量,true,噸,2017,4010000
E,廢棄物管理,一般事業廢棄物,true,,2022,17207
E,廢棄物管理,有害事業廢棄物,true,,2022,37627
E,廢棄物管理,資源化再利用,true,,2022,17206
E,廢棄物管理,一般事業廢棄物,true,,2021,49540
E,廢棄物管理,有害事業廢棄物,true,,2021,37654
E,廢棄物管理,資源化再利用,true,,2021,21083
E,廢棄物管理,一般事業廢棄物,true,噸,2020,32045.9
E,廢棄物管理,有害事業廢棄物,true,噸,2020,36845.13
E,廢棄物管理,資源化再利用,true,噸,2020,26393.29
E,廢棄物管理,一般事業廢棄物,true,噸,2019,58433.73
E,廢棄物管理,有害事業廢棄物,true,噸,2019,39057.93
E,廢棄物管理,資源化再利用,true,噸,2019,52583.58
E,廢棄物管理,一般事業廢棄物,true,噸,2018,64667.13
E,廢棄物管理,有害事業廢棄物,true,噸,2018,37809.53
E,廢棄物管理,資源化再利用,true,噸,2018,59469.68
E,廢棄物管理,一般事業廢棄物,true,噸,2017,65360.98
E,廢棄物管理,有害事業廢棄物,true,噸,2017,37875.61
E,廢棄物管理,資源化再利用,true,噸,2017,60483.17
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,871.982
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,229.59199999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,104.28199999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,558.528
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,987.0269999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,254.93799999999996
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,112.577
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,468.38100000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,1047.675
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,314.29999999999995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,46.26599999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,506.29
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,635.559
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,188.374
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,63.98599999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,441.5210000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,300.52399999999994
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,158.483
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,30.541
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,329.491
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,907.9920000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,169.327
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,22.509000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,557.0429999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,992.856
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,198.88400000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,28.442999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,1488.332
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,1049.707
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,164.13200000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,13.885000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,1669.876
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,976.6659999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,150.77200000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,30.399
