分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,65
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,36839
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,36904
E,能源使用狀況,總用電量,true,度,2020,72372000
E,能源使用狀況,再生能源設置量,true,,2020,無揭露
E,能源使用狀況,再生能源發電量,true,度,2020,6505
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,中美矽晶集團含旗下所有子公司將於2050年前完成100%使用再生能源的目標
E,水資源,總取水量,true,噸,2020,418900
E,水資源,回收水量,true,噸,2020,236500
E,水資源,耗用水量,true,噸,2020,116800
E,水資源,排放水量,true,噸,2020,302100
E,廢棄物管理,一般事業廢棄物,true,噸,2020,2657.43
E,廢棄物管理,有害事業廢棄物,true,噸,2020,6.48
E,廢棄物管理,資源化再利用,true,噸,2020,1.4
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,9.376
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,83.39200000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,102.74700000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.115
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.547
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,6.161
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.698
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,15.468
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.187
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,41.592000000000006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.054
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,34.409
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.078
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,46.489999999999995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.763
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,7.389000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.279
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.606
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.227
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,6.036
E,環境違規,違反環境法規金額-misc,,元,2010,6000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,6000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2016,200000
E,環境違規,違反環境法規次數-misc,,次,2016,2
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2018,296000
E,環境違規,違反環境法規次數-misc,,次,2018,5
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
S,員工組成,正式員工,true,人,2020,667
S,員工組成,性別比,true,人,2020,2.4739583333333335
S,員工組成,新進率,true,人,2020,0.03298350824587706
S,員工組成,離職率,true,人,2020,0.3343328335832084
S,員工組成,是否聘用移工,true,人,2020,NA
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,無揭露
S,員工薪資,平均薪資,,仟元,2020,1128
S,員工薪資,薪資中位數,,仟元,2020,1163
S,員工薪資,平均薪資,,仟元,2019,786
S,員工薪資,薪資中位數,,仟元,2019,768
S,員工薪資,平均薪資,,仟元,2018,662
S,職業健康,職災事故,true,,2020,8
S,職業健康,工安意外,true,,2020,無揭露
G,資本額,資本額,,元,2020,5862216510
G,資本額,資本額,,元,2019,5862216510
G,是否產製CSR報告,是否編撰報告書,true,,,有
G,稅務透明度,營利事業所得稅稅額,true,元,2020,無揭露
G,稅務透明度,政府補助、補貼金額,true,元,2020,無揭露
G,稅務透明度,研發投入費用,true,元,2020,無揭露
G,ISO認證,ISO 9001,true,,2020,NA
G,ISO認證,ISO 14001,true,,2020,NA
G,ISO認證,ISO 45001,true,,2020,有
G,ISO認證,ISO 50001,true,,2020,有
