分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,中鼎淨零目標 以 2030 年之前完成 100%「辦公室據點」淨零排放，2050 年之前完成 100%「辦公室據點」、「服務據點」及「生產據點」淨零排放。中鼎公司已於 2022 年承諾SBTi 科學基礎減碳目標倡議，以1.5&#730;C目標作為設定短期與長期減排目標，並且加入淨零排放協會，以台灣工程龍頭的角色，帶領工程業往永續淨零排放的目標邁進。總部大樓 2021 年 3 月份汰除公務用車 1 部，以減省公務車用油。於 2021 年全棟大樓內空調系統由每日夜間9 點提前至 7 點經由中控系統自行關閉；因應總部大樓緊急發電機儲油槽進水，更換柴油，以提昇發電效能。本公司也針對總部大樓內部，於公司內定期公告提醒同仁養成節能習慣，建立節能企業文化，始終將節能減碳視為日常工作之一大重點。全球工地主要節能措施為太陽能板及小形風力發電扇、空調溫度與時間控管、冷氣與電扇交替搭配使用、建築物綠化、自然採光、環保省電標章家電。目標2022年總部大樓排放強度1.38噸CO2e/人；全球工地排放強度460.1噸CO2e/百萬工時。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有淨零目標有減碳目標
E,環境違規,違反環境法規金額-misc,,元,2017,12000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2019,160000
E,環境違規,違反環境法規次數-misc,,次,2019,2
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,18000
E,環境違規,違反環境法規次數-misc,,次,2020,3
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
E,環境違規,違反環境法規金額-misc,,元,2021,12000
E,環境違規,違反環境法規次數-misc,,次,2021,2
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,1141
S,員工薪資,薪資中位數,,仟元,2020,1022
S,員工薪資,平均薪資,,仟元,2019,1173
S,員工薪資,薪資中位數,,仟元,2019,1047
S,員工薪資,平均薪資,,仟元,2018,1091
G,資本額,資本額,,元,2020,7693586740
G,資本額,資本額,,元,2019,7693586740
G,營運狀況,營業收入,,仟元,2020,55558409
G,營運狀況,營業成本,,仟元,2020,51914759
G,營運狀況,營業費用,,仟元,2020,1586371
G,營運狀況,淨利,,仟元,2020,1305146
G,營運狀況,營業收入,,仟元,2019,58211022
G,營運狀況,營業成本,,仟元,2019,54219327
G,營運狀況,營業費用,,仟元,2019,1823545
G,營運狀況,淨利,,仟元,2019,1674325
G,營運狀況,營業收入,,仟元,2018,64069542
G,營運狀況,營業成本,,仟元,2018,59469789
G,營運狀況,營業費用,,仟元,2018,1883975
G,營運狀況,淨利,,仟元,2018,2300063
G,營運狀況,營業收入,,仟元,2017,71606604
G,營運狀況,營業成本,,仟元,2017,66495104
G,營運狀況,營業費用,,仟元,2017,2096474
G,營運狀況,淨利,,仟元,2017,3290098
G,營運狀況,營業收入,,仟元,2016,70509675
G,營運狀況,營業成本,,仟元,2016,64323846
G,營運狀況,營業費用,,仟元,2016,2023306
G,營運狀況,淨利,,仟元,2016,3013715
