分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額-misc,,元,2020,6000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
G,資本額,資本額,,元,2020,652900000
G,資本額,資本額,,元,2019,652900000
G,營運狀況,營業收入,,仟元,2020,483353
G,營運狀況,營業成本,,仟元,2020,340724
G,營運狀況,營業費用,,仟元,2020,108951
G,營運狀況,淨利,,仟元,2020,43262
G,營運狀況,營業收入,,仟元,2019,488538
G,營運狀況,營業成本,,仟元,2019,365622
G,營運狀況,營業費用,,仟元,2019,107942
G,營運狀況,淨利,,仟元,2019,26040
G,營運狀況,營業收入,,仟元,2018,498282
G,營運狀況,營業成本,,仟元,2018,378937
G,營運狀況,營業費用,,仟元,2018,103194
G,營運狀況,淨利,,仟元,2018,24282
G,營運狀況,營業收入,,仟元,2017,526755
G,營運狀況,營業成本,,仟元,2017,375666
G,營運狀況,營業費用,,仟元,2017,122324
G,營運狀況,淨利,,仟元,2017,33212
G,營運狀況,營業收入,,仟元,2016,527148
G,營運狀況,營業成本,,仟元,2016,352724
G,營運狀況,營業費用,,仟元,2016,126433
G,營運狀況,淨利,,仟元,2016,47561
