年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,272288.56,85.14,173800,95.4,98488.56,71.56,
2020,275142.05,86.04,163753.61,89.89,111388.44,80.94,
2019,319799.72,100,182176.94,100,137622.78,100,
2018,373607.32,116.83,227088.76,124.65,146518.56,106.46,
2017,336415.51,105.2,195384.3,107.25,141031.21,102.48,
2016,308203.85,96.37,167041.34,91.69,141162.51,102.57,
2015,384496.44,120.23,217265.4,119.26,167231.04,121.51,
2014,499025.44,156.04,290118.48,159.25,208906.96,151.8,
2022,238515.64,74.58,156037.08,85.65,82478.56,59.93,T
2023,204742.72,64.02,138274.16,75.9,66468.56,48.3,T
2024,170969.8,53.46,120511.24,66.15,50458.56,36.66,T
2025,137196.88,42.9,102748.32,56.4,34448.56,25.03,T
2026,103423.96,32.34,84985.4,46.65,18438.56,13.4,T
2027,69651.04,21.78,67222.48,36.9,2428.56,1.76,T
2028,35878.12,11.22,49459.56,27.15,0,0,T
2029,2105.2,0.66,31696.64,17.4,0,0,T
2030,0,0,13933.72,7.65,0,0,T
2031,0,0,0,0,0,0,T
2032,0,0,0,0,0,0,T
2033,0,0,0,0,0,0,T
2034,0,0,0,0,0,0,T
2035,0,0,0,0,0,0,T
2036,0,0,0,0,0,0,T
2037,0,0,0,0,0,0,T
2038,0,0,0,0,0,0,T
2039,0,0,0,0,0,0,T
2040,0,0,0,0,0,0,T
2041,0,0,0,0,0,0,T
2042,0,0,0,0,0,0,T
2043,0,0,0,0,0,0,T
2044,0,0,0,0,0,0,T
2045,0,0,0,0,0,0,T
2046,0,0,0,0,0,0,T
2047,0,0,0,0,0,0,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
