分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.977
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,1.9789999999999999
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.34400000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,2.6100000000000003
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.38
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,4.278
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.808
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,2.754
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.47200000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,1.756
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.21200000000000002
E,環境違規,違反環境法規金額-misc,,元,2014,0
E,環境違規,違反環境法規次數-misc,,次,2014,0
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,390000
E,環境違規,違反環境法規次數-水,,次,2014,1
E,環境違規,違反環境法規金額-misc,,元,2015,120000
E,環境違規,違反環境法規次數-misc,,次,2015,2
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
S,員工薪資,平均薪資,,仟元,2020,678
S,員工薪資,薪資中位數,,仟元,2020,564
S,員工薪資,平均薪資,,仟元,2019,609
S,員工薪資,薪資中位數,,仟元,2019,537
S,員工薪資,平均薪資,,仟元,2018,494
G,資本額,資本額,,元,2020,372690000
G,資本額,資本額,,元,2019,372690000
