分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,1.076
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,1.128
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,2.069
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,2.945
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,8.876000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,1.075
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,1.542
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,3.4639999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.42999999999999994
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.5730000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.057
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,14.375000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.016
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.011000000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,5.335000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.6239999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.451
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.17400000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,13.772
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.081
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.051000000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,5.837
E,環境違規,違反環境法規金額-misc,,元,2013,100000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2018,60000
E,環境違規,違反環境法規次數-misc,,次,2018,2
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
S,員工薪資,平均薪資,,仟元,2020,593
S,員工薪資,薪資中位數,,仟元,2020,522
S,員工薪資,平均薪資,,仟元,2019,562
S,員工薪資,薪資中位數,,仟元,2019,492
S,員工薪資,平均薪資,,仟元,2018,563
G,資本額,資本額,,元,2020,1941485000
G,資本額,資本額,,元,2019,1941485000
G,營運狀況,營業收入,,仟元,2020,2682733
G,營運狀況,營業成本,,仟元,2020,2554421
G,營運狀況,營業費用,,仟元,2020,158538
G,營運狀況,淨利,,仟元,2020,1703
G,營運狀況,營業收入,,仟元,2019,3152646
G,營運狀況,營業成本,,仟元,2019,3003524
G,營運狀況,營業費用,,仟元,2019,214887
G,營運狀況,淨利,,仟元,2019,-58185
G,營運狀況,營業收入,,仟元,2018,3062760
G,營運狀況,營業成本,,仟元,2018,2847523
G,營運狀況,營業費用,,仟元,2018,191693
G,營運狀況,淨利,,仟元,2018,10481
G,營運狀況,營業收入,,仟元,2017,2866521
G,營運狀況,營業成本,,仟元,2017,2810642
G,營運狀況,營業費用,,仟元,2017,164909
G,營運狀況,淨利,,仟元,2017,-110177
G,營運狀況,營業收入,,仟元,2016,2935631
G,營運狀況,營業成本,,仟元,2016,2725765
G,營運狀況,營業費用,,仟元,2016,171406
G,營運狀況,淨利,,仟元,2016,21368
