分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,18.9800000000032
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,20624.76
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,20643.74
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,164.39999999999964
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,12062.81
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,12227.21
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,37037.990000000005
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,29133.67
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,66171.66
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,185612.5
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,92644.11
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,278256.61
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,2381.598100381483
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,238907.46999999997
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,99711.77
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,338619.24
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,2717.166719439509
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,161913.91999999998
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,89664.61
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,251578.52999999997
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,2544.319332449555
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,111620.00000000001
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,84221.17
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,195841.17
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,2221.686177584768
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,101040.16000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,81078.48
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,182118.64
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2020,2543.8964397895083
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,1.876
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.73
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.062
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,4.448
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,8.003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,3.14
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,0.319
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,26.238
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,4.429
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.6109999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.369
