分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,能源使用狀況,總用電量,true,度,2020,6408300
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,能源使用狀況,能源密集度,true,度/億元,2020,47225.96899901772
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,減量目標為1.2030年降低50%之碳排放2.預計2050 年達到碳中和的目標
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有淨零目標有減碳目標
E,水資源,總取水量,true,噸,2020,16684
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,,2020,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2020,0
E,廢棄物管理,有害事業廢棄物,true,噸,2020,0
E,廢棄物管理,資源化再利用,true,,2020,無揭露
S,員工組成,正式員工,true,人,2020,659
S,員工組成,性別比,true,人,2020,2.9226190476190474
S,員工組成,新進率,true,人,2020,0.1649016641452345
S,員工組成,離職率,true,人,2020,0.12405446293494705
S,員工組成,是否聘用移工,true,人,2020,8
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,無揭露
S,員工薪資,平均薪資,,仟元,2020,2036
S,員工薪資,薪資中位數,,仟元,2020,1705
S,員工薪資,平均薪資,,仟元,2019,2125
S,員工薪資,薪資中位數,,仟元,2019,1756
S,員工薪資,平均薪資,,仟元,2018,2201
S,職業健康,職災事故,true,,2020,NA
S,職業健康,工安意外,true,,2020,無揭露
G,資本額,資本額,,元,2020,1340119000
G,資本額,資本額,,元,2019,1340119000
G,是否產製CSR報告,是否編撰報告書,true,,,有
G,營運狀況,營業收入,,仟元,2020,13569441
G,營運狀況,營業成本,,仟元,2020,9498564
G,營運狀況,營業費用,,仟元,2020,3106944
G,營運狀況,淨利,,仟元,2020,850007
G,營運狀況,營業收入,,仟元,2019,10710068
G,營運狀況,營業成本,,仟元,2019,7180057
G,營運狀況,營業費用,,仟元,2019,2832782
G,營運狀況,淨利,,仟元,2019,633467
G,營運狀況,營業收入,,仟元,2018,13459804
G,營運狀況,營業成本,,仟元,2018,9442762
G,營運狀況,營業費用,,仟元,2018,2920669
G,營運狀況,淨利,,仟元,2018,988156
G,營運狀況,營業收入,,仟元,2017,12160606
G,營運狀況,營業成本,,仟元,2017,8995509
G,營運狀況,營業費用,,仟元,2017,2234465
G,營運狀況,淨利,,仟元,2017,854809
G,營運狀況,營業收入,,仟元,2016,9290421
G,營運狀況,營業成本,,仟元,2016,6900914
G,營運狀況,營業費用,,仟元,2016,1766853
G,營運狀況,淨利,,仟元,2016,551082
G,稅務透明度,營利事業所得稅稅額,true,元,2020,6710000
G,稅務透明度,政府補助、補貼金額,true,元,2020,無揭露
G,稅務透明度,研發投入費用,true,元,2020,250000000
G,ISO認證,ISO 9001,true,,2020,NA
G,ISO認證,ISO 14001,true,,2020,無
G,ISO認證,ISO 45001,true,,2020,有
G,ISO認證,ISO 50001,true,,2020,無
