分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,52501.5288
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,8499.3282
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,61000.857
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,45271
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,8412
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,53683
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2018,12677
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2018,8828
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2018,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2018,267.67001744802747
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2018,21505
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2019,18108
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2019,8419
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2019,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2019,353.30775680141073
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2019,26527
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,32898
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,8031
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,無揭露
E,溫室氣體排放,碳密集度,true,公噸CO2e/億元,2020,526.1963610183492
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,40929
E,能源使用狀況,總用電量,true,度（KWh）,2021,16759000
E,能源使用狀況,再生能源設置量,true,瓩（KW）,2021,49.6
E,能源使用狀況,再生能源發電量,true,度（KWh）,2021,57588
E,能源使用狀況,總用電量,true,NA,2018,257724298.06
E,能源使用狀況,再生能源設置量,true,瓩,2018,49.6
E,能源使用狀況,再生能源發電量,true,度,2018,66179
E,能源使用狀況,能源密集度,true,度/億元,2018,3207861.769751259
E,能源使用狀況,總用電量,true,NA,2019,150485616.67
E,能源使用狀況,再生能源設置量,true,瓩,2019,49.6
E,能源使用狀況,再生能源發電量,true,度,2019,59008
E,能源使用狀況,能源密集度,true,度/億元,2019,2004287.5431279328
E,能源使用狀況,總用電量,true,NA,2020,232667830.28
E,能源使用狀況,再生能源設置量,true,瓩,2020,49.6
E,能源使用狀況,再生能源發電量,true,度,2020,62464
E,能源使用狀況,能源密集度,true,度/億元,2020,2991252.305684744
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,本公司為減少溫室氣體排放，參與工業局區域能資源整合方案，永安一廠自101年起，永安二廠自103年下半年起，將原重油燃料改由生質或天然氣燃料產生蒸汽，以降低溫室氣體排放。各廠持續推動相關減碳節能措施，持續降低溫室氣體排放，減少對環境衝擊。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,水資源,總取水量,true,,2021,0.34401
E,水資源,回收水量,true,,2021,0.0004
E,水資源,耗用水量,true,,2021,0.23162000000000002
E,水資源,排放水量,true,,2021,0.11279000000000002
E,水資源,總取水量,true,噸,2018,253209
E,水資源,回收水量,true,,2018,無揭露
E,水資源,耗用水量,true,,2018,無揭露
E,水資源,排放水量,true,噸,2018,49099
E,水資源,總取水量,true,噸,2019,273590
E,水資源,回收水量,true,,2019,無揭露
E,水資源,耗用水量,true,,2019,無揭露
E,水資源,排放水量,true,噸,2019,62083
E,水資源,總取水量,true,噸,2020,315876
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,噸,2020,73795
E,廢棄物管理,一般事業廢棄物,true,,2021,61.66
E,廢棄物管理,有害事業廢棄物,true,,2021,802.69
E,廢棄物管理,資源化再利用,true,,2021,129
E,廢棄物管理,一般事業廢棄物,true,噸,2018,74.48
E,廢棄物管理,有害事業廢棄物,true,噸,2018,536.7
E,廢棄物管理,資源化再利用,true,無揭露,2018,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2019,60.3
E,廢棄物管理,有害事業廢棄物,true,噸,2019,552.52
E,廢棄物管理,資源化再利用,true,無揭露,2019,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2020,62.46
E,廢棄物管理,有害事業廢棄物,true,噸,2020,722.98
E,廢棄物管理,資源化再利用,true,無揭露,2020,無揭露
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,66.185
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,97.21699999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,11.993
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,57.094000000000015
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,68.917
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,110.213
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,12.443999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,91.18999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,74.607
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,110.559
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,3.7350000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,91.93700000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,39.194
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,96.19
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,4.65
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,98.176
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,35.952
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,2.199
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,95.27000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,8.99
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,12.196
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.7090000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,99.62000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,4.973000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.758
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.07400000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,92.48899999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,9.182
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,1.807
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.109
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,95.942
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,11.858999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,2.559
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.11399999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,98.62899999999999
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.14400000000000002
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,0.46699999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,15.261000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,5.651
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.40199999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,97.41799999999998
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2018,0.695
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.112
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,0.36
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,17.875
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.028999999999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.43700000000000006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,89.937
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.035
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,0.072
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,31.611
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.011
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.777
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,78.62800000000001
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2020,0.011
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.153
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,41.062
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.021
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.93
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,83.56700000000001
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2021,0.015
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.018
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.093
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,43.583000000000006
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,0.013000000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,0.969
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,71.387
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2022,0.026
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,0.157
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2022,1.037
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,20.05
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2023,0.44299999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,32.859
E,空氣污染物申報-有害空氣污染物,三氯甲烷,,,2023,0.014
E,空氣污染物申報-有害空氣污染物,甲苯,,,2023,0.14
