分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2013,10342.99
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2013,14131.1
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2013,24474.09
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,10489.850000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,15004.8
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,25494.65
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,8636.000000000002
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,13009.08
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,21645.08
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,4.937
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,3.0260000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,1.416
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,6.767999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,2.393
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,1.118
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,11.280000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,3.835
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,2.501
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.01
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,3.876
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,1.8930000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,1.888
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.012
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,2.659
