分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,環境違規,違反環境法規金額-misc,,元,2011,100000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
S,員工薪資,平均薪資,,仟元,2020,601
S,員工薪資,薪資中位數,,仟元,2020,660
S,員工薪資,平均薪資,,仟元,2019,607
S,員工薪資,薪資中位數,,仟元,2019,548
S,員工薪資,平均薪資,,仟元,2018,575
G,資本額,資本額,,元,2020,191004400
G,資本額,資本額,,元,2019,191004400
G,營運狀況,營業收入,,仟元,2020,776397
G,營運狀況,營業成本,,仟元,2020,404425
G,營運狀況,營業費用,,仟元,2020,300429
G,營運狀況,淨利,,仟元,2020,62913
G,營運狀況,營業收入,,仟元,2019,881610
G,營運狀況,營業成本,,仟元,2019,486638
G,營運狀況,營業費用,,仟元,2019,309424
G,營運狀況,淨利,,仟元,2019,76977
G,營運狀況,營業收入,,仟元,2018,917579
G,營運狀況,營業成本,,仟元,2018,487004
G,營運狀況,營業費用,,仟元,2018,318765
G,營運狀況,淨利,,仟元,2018,126454
G,營運狀況,營業收入,,仟元,2017,822409
G,營運狀況,營業成本,,仟元,2017,415920
G,營運狀況,營業費用,,仟元,2017,257791
G,營運狀況,淨利,,仟元,2017,158757
