年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,5828642.49,99.22,2575505.77,97.22,3253136.72,100.86,
2019,5874543.93,100,2649087.02,100,3225456.91,100,
2018,6132619.94,104.39,2632104.27,99.36,3500515.67,108.53,
2017,6278523.74,106.88,2823672.56,106.59,3454851.18,107.11,
2016,5992412.11,102.01,2665776.53,100.63,3326635.58,103.14,
2015,6211726.96,105.74,2967584.07,112.02,3244142.89,100.58,
2014,5930965.93,100.96,2847849.62,107.5,3083116.31,95.59,
2021,5678682.07,96.67,2492783.51,94.1,3185898.57,98.77,T
2022,5528721.66,94.11,2410061.24,90.98,3118660.41,96.69,T
2023,5378761.24,91.56,2327338.98,87.85,3051422.26,94.6,T
2024,5228800.82,89.01,2244616.72,84.73,2984184.11,92.52,T
2025,5078840.41,86.46,2161894.45,81.61,2916945.95,90.44,T
2026,4928879.99,83.9,2079172.19,78.49,2849707.8,88.35,T
2027,4778919.57,81.35,1996449.93,75.36,2782469.65,86.27,T
2028,4628959.16,78.8,1913727.66,72.24,2715231.49,84.18,T
2029,4478998.74,76.24,1831005.4,69.12,2647993.34,82.1,T
2030,4329038.32,73.69,1748283.14,66,2580755.19,80.01,T
2031,4179077.91,71.14,1665560.87,62.87,2513517.03,77.93,T
2032,4029117.49,68.59,1582838.61,59.75,2446278.88,75.84,T
2033,3879157.07,66.03,1500116.35,56.63,2379040.73,73.76,T
2034,3729196.66,63.48,1417394.08,53.51,2311802.57,71.67,T
2035,3579236.24,60.93,1334671.82,50.38,2244564.42,69.59,T
2036,3429275.82,58.38,1251949.56,47.26,2177326.27,67.5,T
2037,3279315.41,55.82,1169227.29,44.14,2110088.11,65.42,T
2038,3129354.99,53.27,1086505.03,41.01,2042849.96,63.34,T
2039,2979394.57,50.72,1003782.77,37.89,1975611.81,61.25,T
2040,2829434.16,48.16,921060.5,34.77,1908373.65,59.17,T
2041,2679473.74,45.61,838338.24,31.65,1841135.5,57.08,T
2042,2529513.32,43.06,755615.98,28.52,1773897.35,55,T
2043,2379552.91,40.51,672893.71,25.4,1706659.19,52.91,T
2044,2229592.49,37.95,590171.45,22.28,1639421.04,50.83,T
2045,2079632.07,35.4,507449.19,19.16,1572182.89,48.74,T
2046,1929671.66,32.85,424726.92,16.03,1504944.73,46.66,T
2047,1779711.24,30.3,342004.66,12.91,1437706.58,44.57,T
2048,1629750.82,27.74,259282.4,9.79,1370468.43,42.49,T
2049,1479790.41,25.19,176560.13,6.66,1303230.27,40.4,T
2050,1329829.99,22.64,93837.87,3.54,1235992.12,38.32,T
