年份,Tot數值,Tot變化,是承諾值
2014,5930965.93,100.96,
2015,6211726.96,105.74,
2016,5992412.11,102.01,
2017,6278523.74,106.88,
2018,6132619.94,104.39,
2019,5874543.93,100,
2020,5828642.49,99.22,
2021,5868888.89,99.9,T
2022,5791666.67,98.59,T
2023,5714444.44,97.27,T
2024,5637222.22,95.96,T
2025,5560000,94.65,T
2026,5351500,91.1,T
2027,5143000,87.55,T
2028,4934500,84,T
2029,4726000,80.45,T
2030,4517500,76.9,T
2031,4291625,73.05,T
2032,4065750,69.21,T
2033,3839875,65.36,T
2034,3614000,61.52,T
2035,3388125,57.67,T
2036,3162250,53.83,T
2037,2936375,49.98,T
2038,2710500,46.14,T
2039,2484625,42.29,T
2040,2258750,38.45,T
2041,2032875,34.6,T
2042,1807000,30.76,T
2043,1581125,26.91,T
2044,1355250,23.07,T
2045,1129375,19.22,T
2046,903500,15.38,T
2047,677625,11.53,T
2048,451750,7.69,T
2049,225875,3.84,T
2050,0,0,T
