年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,61478,75.01,35216.04,87.77,26261.96,62.77,
2020,66595.67,81.26,37781.67,94.17,28814,68.87,
2019,81958.52,100,40122.38,100,41836.14,100,
2018,93968.95,114.65,40083.93,99.9,53885.02,128.8,
2017,93215.89,113.74,38956.24,97.09,54259.65,129.7,
2016,93235.8,113.76,42618.12,106.22,50617.68,120.99,
2015,101205.65,123.48,50516.38,125.91,50689.27,121.16,
2014,103873.01,126.74,52426.55,130.67,51446.46,122.97,
2022,50647.68,61.8,33593.41,83.73,17054.27,40.76,T
2023,39817.37,48.58,31970.78,79.68,7846.59,18.76,T
2024,28987.05,35.37,30348.15,75.64,0,0,T
2025,18156.73,22.15,28725.52,71.59,0,0,T
2026,7326.42,8.94,27102.89,67.55,0,0,T
2027,0,0,25480.26,63.51,0,0,T
2028,0,0,23857.63,59.46,0,0,T
2029,0,0,22235,55.42,0,0,T
2030,0,0,20612.37,51.37,0,0,T
2031,0,0,18989.74,47.33,0,0,T
2032,0,0,17367.11,43.29,0,0,T
2033,0,0,15744.48,39.24,0,0,T
2034,0,0,14121.85,35.2,0,0,T
2035,0,0,12499.22,31.15,0,0,T
2036,0,0,10876.59,27.11,0,0,T
2037,0,0,9253.96,23.06,0,0,T
2038,0,0,7631.33,19.02,0,0,T
2039,0,0,6008.7,14.98,0,0,T
2040,0,0,4386.07,10.93,0,0,T
2041,0,0,2763.44,6.89,0,0,T
2042,0,0,1140.81,2.84,0,0,T
2043,0,0,0,0,0,0,T
2044,0,0,0,0,0,0,T
2045,0,0,0,0,0,0,T
2046,0,0,0,0,0,0,T
2047,0,0,0,0,0,0,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
