分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,52426.549999999996
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,51446.46
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,50516.38
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,50689.27
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,42618.12
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,50617.68
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2016,479.1674568352123
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,38956.24
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,54259.65
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2017,442.5547234592309
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,40083.93
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,53885.02
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2018,376.6880297973703
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,40122.380000000005
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,41836.14
E,溫室氣體排放,碳密集度,,公噸CO2e/億元,2019,357.1578074664151
E,空氣污染物申報,氮氧化物,,,2009,142.02800000000002
E,空氣污染物申報,硫氧化物,,,2009,206.174
E,空氣污染物申報,粒狀污染物,,,2009,23.502
E,空氣污染物申報,揮發性有機化合物,,,2009,393.19800000000004
E,空氣污染物申報,氮氧化物,,,2011,114.577
E,空氣污染物申報,硫氧化物,,,2011,139.12700000000004
E,空氣污染物申報,粒狀污染物,,,2011,18.073
E,空氣污染物申報,揮發性有機化合物,,,2011,5.432
E,空氣污染物申報,氮氧化物,,,2012,166.37
E,空氣污染物申報,硫氧化物,,,2012,212.774
E,空氣污染物申報,粒狀污染物,,,2012,27.725
E,空氣污染物申報,揮發性有機化合物,,,2012,16.032999999999998
E,空氣污染物申報,氮氧化物,,,2013,165.56700000000004
E,空氣污染物申報,硫氧化物,,,2013,218.76099999999997
E,空氣污染物申報,粒狀污染物,,,2013,39.970000000000006
E,空氣污染物申報,揮發性有機化合物,,,2013,58.04900000000001
E,空氣污染物申報,氮氧化物,,,2014,73.51500000000001
E,空氣污染物申報,硫氧化物,,,2014,93.15800000000002
E,空氣污染物申報,粒狀污染物,,,2014,14.972000000000001
E,空氣污染物申報,揮發性有機化合物,,,2014,13.707
E,空氣污染物申報,氮氧化物,,,2015,120.71700000000001
E,空氣污染物申報,硫氧化物,,,2015,140.409
E,空氣污染物申報,粒狀污染物,,,2015,21.320999999999998
E,空氣污染物申報,揮發性有機化合物,,,2015,32.986999999999995
E,空氣污染物申報,氮氧化物,,,2016,88.712
E,空氣污染物申報,硫氧化物,,,2016,78.29399999999998
E,空氣污染物申報,粒狀污染物,,,2016,9.863999999999999
E,空氣污染物申報,揮發性有機化合物,,,2016,38.385
E,空氣污染物申報,苯,,,2017,0.007
E,空氣污染物申報,四氯化碳,,,2017,0
E,空氣污染物申報,1-1-二氯乙烷,,,2017,0
E,空氣污染物申報,1-2-二氯乙烷,,,2017,0
E,空氣污染物申報,戴奧辛,,,2017,0
E,空氣污染物申報,乙苯,,,2017,0.002
E,空氣污染物申報,二氯甲烷,,,2017,0.17200000000000001
E,空氣污染物申報,氮氧化物,,,2017,46.438
E,空氣污染物申報,硫氧化物,,,2017,10.936000000000002
E,空氣污染物申報,苯乙烯,,,2017,0
E,空氣污染物申報,粒狀污染物,,,2017,1.624
E,空氣污染物申報,四氯乙烯,,,2017,0
E,空氣污染物申報,甲苯,,,2017,0.017
E,空氣污染物申報,三氯乙烷,,,2017,0.059000000000000004
E,空氣污染物申報,三氯乙烯,,,2017,0.007
E,空氣污染物申報,揮發性有機化合物,,,2017,22.144999999999996
E,空氣污染物申報,二甲苯,,,2017,0
E,空氣污染物申報,三氯甲烷,,,2017,0.07699999999999999
E,空氣污染物申報,重金屬,,,2017,0
E,空氣污染物申報,苯,,,2018,0.009000000000000001
E,空氣污染物申報,四氯化碳,,,2018,0
E,空氣污染物申報,1-1-二氯乙烷,,,2018,0
E,空氣污染物申報,1-2-二氯乙烷,,,2018,0
E,空氣污染物申報,戴奧辛,,,2018,0
E,空氣污染物申報,乙苯,,,2018,0.001
E,空氣污染物申報,二氯甲烷,,,2018,0.258
E,空氣污染物申報,氮氧化物,,,2018,61.28
E,空氣污染物申報,硫氧化物,,,2018,7.1129999999999995
E,空氣污染物申報,苯乙烯,,,2018,0
E,空氣污染物申報,粒狀污染物,,,2018,2.206
E,空氣污染物申報,四氯乙烯,,,2018,0
E,空氣污染物申報,甲苯,,,2018,0.023999999999999994
E,空氣污染物申報,三氯乙烷,,,2018,0.07200000000000001
E,空氣污染物申報,三氯乙烯,,,2018,0.009000000000000001
E,空氣污染物申報,揮發性有機化合物,,,2018,17.251
E,空氣污染物申報,二甲苯,,,2018,0
E,空氣污染物申報,三氯甲烷,,,2018,0.11499999999999999
E,空氣污染物申報,重金屬,,,2018,0
E,空氣污染物申報,苯,,,2019,0.005
E,空氣污染物申報,四氯化碳,,,2019,0
E,空氣污染物申報,1-1-二氯乙烷,,,2019,0
E,空氣污染物申報,1-2-二氯乙烷,,,2019,0
E,空氣污染物申報,戴奧辛,,,2019,0
E,空氣污染物申報,乙苯,,,2019,0.004
E,空氣污染物申報,二氯甲烷,,,2019,0.082
E,空氣污染物申報,氮氧化物,,,2019,30.134
E,空氣污染物申報,硫氧化物,,,2019,6.579000000000001
E,空氣污染物申報,苯乙烯,,,2019,0
E,空氣污染物申報,粒狀污染物,,,2019,1.3219999999999998
E,空氣污染物申報,四氯乙烯,,,2019,0
E,空氣污染物申報,甲苯,,,2019,0.019000000000000003
E,空氣污染物申報,三氯乙烷,,,2019,0.06
E,空氣污染物申報,三氯乙烯,,,2019,0.005
E,空氣污染物申報,揮發性有機化合物,,,2019,41.521
E,空氣污染物申報,二甲苯,,,2019,0
E,空氣污染物申報,三氯甲烷,,,2019,0.059
E,空氣污染物申報,重金屬,,,2019,0
E,空氣污染物申報,苯,,,2020,0.002
E,空氣污染物申報,四氯化碳,,,2020,0
E,空氣污染物申報,1-1-二氯乙烷,,,2020,0
E,空氣污染物申報,1-2-二氯乙烷,,,2020,0
E,空氣污染物申報,戴奧辛,,,2020,0
E,空氣污染物申報,乙苯,,,2020,0.002
E,空氣污染物申報,二氯甲烷,,,2020,0.041
E,空氣污染物申報,氮氧化物,,,2020,15.038
E,空氣污染物申報,硫氧化物,,,2020,1.563
E,空氣污染物申報,苯乙烯,,,2020,0
E,空氣污染物申報,粒狀污染物,,,2020,0.484
E,空氣污染物申報,四氯乙烯,,,2020,0
E,空氣污染物申報,甲苯,,,2020,0.008
E,空氣污染物申報,三氯乙烷,,,2020,0.027
E,空氣污染物申報,三氯乙烯,,,2020,0.002
E,空氣污染物申報,揮發性有機化合物,,,2020,13.533
E,空氣污染物申報,二甲苯,,,2020,0
E,空氣污染物申報,三氯甲烷,,,2020,0.026
E,空氣污染物申報,重金屬,,,2020,0
E,空氣污染物申報,苯,,,2021,0
E,空氣污染物申報,四氯化碳,,,2021,0
E,空氣污染物申報,1-1-二氯乙烷,,,2021,0
E,空氣污染物申報,1-2-二氯乙烷,,,2021,0
E,空氣污染物申報,戴奧辛,,,2021,0
E,空氣污染物申報,乙苯,,,2021,0
E,空氣污染物申報,二氯甲烷,,,2021,0.056
E,空氣污染物申報,氮氧化物,,,2021,15.44
E,空氣污染物申報,硫氧化物,,,2021,0.756
E,空氣污染物申報,苯乙烯,,,2021,0
E,空氣污染物申報,粒狀污染物,,,2021,0.496
E,空氣污染物申報,四氯乙烯,,,2021,0
E,空氣污染物申報,甲苯,,,2021,0.004
E,空氣污染物申報,三氯乙烷,,,2021,0.012
E,空氣污染物申報,三氯乙烯,,,2021,0
E,空氣污染物申報,揮發性有機化合物,,,2021,1.052
E,空氣污染物申報,二甲苯,,,2021,0
E,空氣污染物申報,三氯甲烷,,,2021,0.022
E,空氣污染物申報,重金屬,,,2021,0
E,環境違規,違反環境法規金額,,元,2011,200000
E,環境違規,違反環境法規次數,,次,2011,2
E,環境違規,違反環境法規金額,,元,2014,300000
E,環境違規,違反環境法規次數,,次,2014,3
E,環境違規,違反環境法規金額,,元,2017,132000
E,環境違規,違反環境法規次數,,次,2017,2
E,環境違規,違反環境法規金額,,元,2019,100000
E,環境違規,違反環境法規次數,,次,2019,1
E,環境違規,違反環境法規金額,,元,2020,3247500
E,環境違規,違反環境法規次數,,次,2020,13
E,環境違規,違反環境法規金額,,元,2021,1170000
E,環境違規,違反環境法規次數,,次,2021,1
S,員工薪資,平均薪資,,仟元,2020,563
S,員工薪資,薪資中位數,,仟元,2020,464
S,員工薪資,平均薪資,,仟元,2019,528
S,員工薪資,薪資中位數,,仟元,2019,455
S,員工薪資,平均薪資,,仟元,2018,543
G,資本額,資本額,,元,2020,16568158570
G,資本額,資本額,,元,2019,16568158570
G,營運狀況,營業收入,,仟元,2020,17628221
G,營運狀況,營業成本,,仟元,2020,15965585
G,營運狀況,營業費用,,仟元,2020,1851260
G,營運狀況,淨利,,仟元,2020,971261
G,營運狀況,營業收入,,仟元,2019,22947425
G,營運狀況,營業成本,,仟元,2019,21673122
G,營運狀況,營業費用,,仟元,2019,2039981
G,營運狀況,淨利,,仟元,2019,116839
G,營運狀況,營業收入,,仟元,2018,24946094
G,營運狀況,營業成本,,仟元,2018,22211162
G,營運狀況,營業費用,,仟元,2018,2051452
G,營運狀況,淨利,,仟元,2018,1062694
G,營運狀況,營業收入,,仟元,2017,21063133
G,營運狀況,營業成本,,仟元,2017,18613286
G,營運狀況,營業費用,,仟元,2017,2135027
G,營運狀況,淨利,,仟元,2017,685255
G,營運狀況,營業收入,,仟元,2016,19457874
G,營運狀況,營業成本,,仟元,2016,17196189
G,營運狀況,營業費用,,仟元,2016,2097830
G,營運狀況,淨利,,仟元,2016,476530
