分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2009,2463.709999999992
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2009,186060.47
E,空氣污染物申報,氮氧化物,,2009,6.185
E,空氣污染物申報,硫氧化物,,2009,0.001
E,空氣污染物申報,粒狀污染物,,2009,0.492
E,空氣污染物申報,揮發性有機化合物,,2009,2.1390000000000002
E,空氣污染物申報,氮氧化物,,2010,13.218
E,空氣污染物申報,硫氧化物,,2010,0.002
E,空氣污染物申報,粒狀污染物,,2010,0.512
E,空氣污染物申報,揮發性有機化合物,,2010,4.606
E,空氣污染物申報,氮氧化物,,2011,9.067000000000002
E,空氣污染物申報,硫氧化物,,2011,0
E,空氣污染物申報,粒狀污染物,,2011,0.632
E,空氣污染物申報,揮發性有機化合物,,2011,5.481
E,空氣污染物申報,氮氧化物,,2012,7.092
E,空氣污染物申報,硫氧化物,,2012,0
E,空氣污染物申報,粒狀污染物,,2012,0.45
E,空氣污染物申報,揮發性有機化合物,,2012,1.596
E,空氣污染物申報,氮氧化物,,2013,6.429
E,空氣污染物申報,硫氧化物,,2013,0
E,空氣污染物申報,粒狀污染物,,2013,0.494
E,空氣污染物申報,揮發性有機化合物,,2013,2.166
E,空氣污染物申報,氮氧化物,,2014,10.331
E,空氣污染物申報,硫氧化物,,2014,0
E,空氣污染物申報,粒狀污染物,,2014,0.7819999999999999
E,空氣污染物申報,揮發性有機化合物,,2014,2.709
E,空氣污染物申報,氮氧化物,,2015,14.592999999999998
E,空氣污染物申報,硫氧化物,,2015,0
E,空氣污染物申報,粒狀污染物,,2015,1.544
E,空氣污染物申報,揮發性有機化合物,,2015,4.013
E,空氣污染物申報,氮氧化物,,2016,15.825
E,空氣污染物申報,硫氧化物,,2016,0
E,空氣污染物申報,粒狀污染物,,2016,1.592
E,空氣污染物申報,揮發性有機化合物,,2016,2.397
E,空氣污染物申報,苯,,2017,0
E,空氣污染物申報,四氯化碳,,2017,0
E,空氣污染物申報,1-1-二氯乙烷,,2017,0
E,空氣污染物申報,1-2-二氯乙烷,,2017,0
E,空氣污染物申報,戴奧辛,,2017,0
E,空氣污染物申報,乙苯,,2017,0
E,空氣污染物申報,二氯甲烷,,2017,0
E,空氣污染物申報,氮氧化物,,2017,54.83500000000001
E,空氣污染物申報,硫氧化物,,2017,0
E,空氣污染物申報,苯乙烯,,2017,0
E,空氣污染物申報,粒狀污染物,,2017,6.647000000000001
E,空氣污染物申報,四氯乙烯,,2017,0
E,空氣污染物申報,甲苯,,2017,0.234
E,空氣污染物申報,三氯乙烷,,2017,0
E,空氣污染物申報,三氯乙烯,,2017,0
E,空氣污染物申報,揮發性有機化合物,,2017,7.271000000000002
E,空氣污染物申報,二甲苯,,2017,0.519
E,空氣污染物申報,三氯甲烷,,2017,0
E,空氣污染物申報,重金屬,,2017,0
E,空氣污染物申報,苯,,2018,0
E,空氣污染物申報,四氯化碳,,2018,0
E,空氣污染物申報,1-1-二氯乙烷,,2018,0
E,空氣污染物申報,1-2-二氯乙烷,,2018,0
E,空氣污染物申報,戴奧辛,,2018,0
