年份,Tot數值,Tot變化,是承諾值
2013,9526226.94,114.42,
2014,10127125.24,121.64,
2015,10450625.09,125.52,
2016,10277685.55,123.45,
2017,8809089.78,105.81,
2018,9021750.09,108.36,
2019,8325551.29,100,
2020,8327358.3,100.02,
2021,8368208.24,100.51,T
2022,8197428.48,98.46,T
2023,8026648.72,96.41,T
2024,7855868.96,94.36,T
2025,7685089.2,92.31,T
2026,7428919.56,89.23,T
2027,7172749.92,86.15,T
2028,6916580.28,83.08,T
2029,6660410.64,80,T
2030,6404241,76.92,T
2031,6084028.95,73.08,T
2032,5763816.9,69.23,T
2033,5443604.85,65.38,T
2034,5123392.8,61.54,T
2035,4803180.75,57.69,T
2036,4482968.7,53.85,T
2037,4162756.65,50,T
2038,3842544.6,46.15,T
2039,3522332.55,42.31,T
2040,3202120.5,38.46,T
2041,2881908.45,34.62,T
2042,2561696.4,30.77,T
2043,2241484.35,26.92,T
2044,1921272.3,23.08,T
2045,1601060.25,19.23,T
2046,1280848.2,15.38,T
2047,960636.15,11.54,T
2048,640424.1,7.69,T
2049,320212.05,3.85,T
2050,0,0,T
