年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,9631.87,109.48,27.81,79.03,9604.06,109.6,
2020,9482.83,107.79,46.38,131.8,9436.45,107.69,
2019,8797.68,100,35.19,100,8762.49,100,
2018,6581.28,74.81,21.7,61.67,6559.58,74.86,
2022,10648.73,121.04,29.85,84.82,10618.89,121.19,T
2023,11665.6,132.6,31.88,90.6,11633.71,132.77,T
2024,12682.46,144.16,33.92,96.39,12648.54,144.35,T
2025,13699.32,155.72,35.96,102.18,13663.37,155.93,T
2026,14716.19,167.27,37.99,107.97,14678.19,167.51,T
2027,15733.05,178.83,40.03,113.75,15693.02,179.09,T
2028,16749.91,190.39,42.07,119.54,16707.85,190.67,T
2029,17766.78,201.95,44.1,125.33,17722.67,202.26,T
2030,18783.64,213.51,46.14,131.12,18737.5,213.84,T
2031,19800.5,225.07,48.18,136.9,19752.33,225.42,T
2032,20817.37,236.62,50.21,142.69,20767.15,237,T
2033,21834.23,248.18,52.25,148.48,21781.98,248.58,T
2034,22851.09,259.74,54.29,154.27,22796.81,260.16,T
2035,23867.96,271.3,56.32,160.05,23811.63,271.75,T
2036,24884.82,282.86,58.36,165.84,24826.46,283.33,T
2037,25901.68,294.41,60.4,171.63,25841.29,294.91,T
2038,26918.55,305.97,62.43,177.42,26856.11,306.49,T
2039,27935.41,317.53,64.47,183.21,27870.94,318.07,T
2040,28952.27,329.09,66.51,188.99,28885.77,329.65,T
2041,29969.14,340.65,68.54,194.78,29900.59,341.23,T
2042,30986,352.21,70.58,200.57,30915.42,352.82,T
2043,32002.86,363.76,72.62,206.36,31930.25,364.4,T
2044,33019.73,375.32,74.65,212.14,32945.07,375.98,T
2045,34036.59,386.88,76.69,217.93,33959.9,387.56,T
2046,35053.45,398.44,78.73,223.72,34974.73,399.14,T
2047,36070.32,410,80.76,229.51,35989.55,410.72,T
2048,37087.18,421.56,82.8,235.29,37004.38,422.3,T
2049,38104.04,433.11,84.84,241.08,38019.21,433.89,T
2050,39120.91,444.67,86.87,246.87,39034.03,445.47,T
