年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,7911814,99.84,3839116.49,103.46,4072697.51,96.66,
2020,7933830.04,100.12,3901637.42,105.14,4032192.62,95.7,
2019,7924290.4,100,3710835.23,100,4213455.17,100,
2018,8130385.66,102.6,3773864.25,101.7,4356521.41,103.4,
2017,8208337.34,103.58,3817458.44,102.87,4390878.9,104.21,
2016,7921690.61,99.97,3835753.41,103.37,4085937.2,96.97,
2015,8166006.74,103.05,4083960.28,110.06,4082046.46,96.88,
2014,8132911.06,102.63,4151482.88,111.87,3981428.18,94.49,
2013,2778051.38,35.06,2765280.26,74.52,12771.12,0.3,
2022,7838956.78,98.92,3860867.24,104.04,3978089.54,94.41,T
2023,7766099.56,98,3882617.98,104.63,3883481.58,92.17,T
2024,7693242.34,97.08,3904368.73,105.22,3788873.61,89.92,T
2025,7620385.12,96.16,3926119.48,105.8,3694265.64,87.68,T
2026,7547527.9,95.25,3947870.22,106.39,3599657.68,85.43,T
2027,7474670.68,94.33,3969620.97,106.97,3505049.71,83.19,T
2028,7401813.46,93.41,3991371.72,107.56,3410441.74,80.94,T
2029,7328956.24,92.49,4013122.46,108.15,3315833.78,78.7,T
2030,7256099.02,91.57,4034873.21,108.73,3221225.81,76.45,T
2031,7183241.8,90.65,4056623.96,109.32,3126617.84,74.21,T
2032,7110384.58,89.73,4078374.7,109.9,3032009.88,71.96,T
2033,7037527.36,88.81,4100125.45,110.49,2937401.91,69.71,T
2034,6964670.14,87.89,4121876.2,111.08,2842793.94,67.47,T
2035,6891812.92,86.97,4143626.94,111.66,2748185.98,65.22,T
2036,6818955.7,86.05,4165377.69,112.25,2653578.01,62.98,T
2037,6746098.48,85.13,4187128.44,112.84,2558970.04,60.73,T
2038,6673241.26,84.21,4208879.18,113.42,2464362.08,58.49,T
2039,6600384.04,83.29,4230629.93,114.01,2369754.11,56.24,T
2040,6527526.82,82.37,4252380.68,114.59,2275146.14,54,T
2041,6454669.6,81.45,4274131.42,115.18,2180538.18,51.75,T
2042,6381812.38,80.53,4295882.17,115.77,2085930.21,49.51,T
2043,6308955.16,79.62,4317632.92,116.35,1991322.24,47.26,T
2044,6236097.94,78.7,4339383.66,116.94,1896714.28,45.02,T
2045,6163240.72,77.78,4361134.41,117.52,1802106.31,42.77,T
2046,6090383.5,76.86,4382885.16,118.11,1707498.34,40.52,T
2047,6017526.28,75.94,4404635.9,118.7,1612890.38,38.28,T
2048,5944669.06,75.02,4426386.65,119.28,1518282.41,36.03,T
2049,5871811.84,74.1,4448137.4,119.87,1423674.44,33.79,T
2050,5798954.62,73.18,4469888.14,120.46,1329066.48,31.54,T
