年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,4612649.28,102.95,4411102.09,103.39,201547.19,94.06,
2019,4480663.6,100,4266394.18,100,214269.42,100,
2018,4467000.1,99.7,4228687.92,99.12,238312.18,111.22,
2017,4397776.32,98.15,4144669.28,97.15,253107.04,118.13,
2016,4089605.56,91.27,3835837.35,89.91,253768.21,118.43,
2015,4896252.25,109.28,4614889.72,108.17,281362.53,131.31,
2014,5381831.26,120.11,5097452.57,119.48,284378.69,132.72,
2013,6851987.15,152.92,6545196.9,153.41,306790.25,143.18,
2021,4684273.6,104.54,4499913.03,105.47,184360.57,86.04,T
2022,4755897.92,106.14,4588723.96,107.56,167173.96,78.02,T
2023,4827522.24,107.74,4677534.9,109.64,149987.34,70,T
2024,4899146.56,109.34,4766345.84,111.72,132800.72,61.98,T
2025,4970770.88,110.94,4855156.77,113.8,115614.11,53.96,T
2026,5042395.2,112.54,4943967.71,115.88,98427.49,45.94,T
2027,5114019.52,114.14,5032778.65,117.96,81240.87,37.92,T
2028,5185643.84,115.73,5121589.58,120.04,64054.26,29.89,T
2029,5257268.16,117.33,5210400.52,122.13,46867.64,21.87,T
2030,5328892.48,118.93,5299211.46,124.21,29681.02,13.85,T
2031,5400516.8,120.53,5388022.39,126.29,12494.41,5.83,T
2032,5472141.12,122.13,5476833.33,128.37,0,0,T
2033,5543765.44,123.73,5565644.27,130.45,0,0,T
2034,5615389.76,125.32,5654455.2,132.53,0,0,T
2035,5687014.08,126.92,5743266.14,134.62,0,0,T
2036,5758638.4,128.52,5832077.08,136.7,0,0,T
2037,5830262.72,130.12,5920888.01,138.78,0,0,T
2038,5901887.04,131.72,6009698.95,140.86,0,0,T
2039,5973511.36,133.32,6098509.89,142.94,0,0,T
2040,6045135.68,134.92,6187320.82,145.02,0,0,T
2041,6116760,136.51,6276131.76,147.11,0,0,T
2042,6188384.32,138.11,6364942.7,149.19,0,0,T
2043,6260008.64,139.71,6453753.63,151.27,0,0,T
2044,6331632.96,141.31,6542564.57,153.35,0,0,T
2045,6403257.28,142.91,6631375.51,155.43,0,0,T
2046,6474881.6,144.51,6720186.44,157.51,0,0,T
2047,6546505.92,146.11,6808997.38,159.6,0,0,T
2048,6618130.24,147.7,6897808.32,161.68,0,0,T
2049,6689754.56,149.3,6986619.25,163.76,0,0,T
2050,6761378.88,150.9,7075430.19,165.84,0,0,T
