年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,257574.41,101.19,68854.06,100.08,188720.35,101.6,
2020,230434.84,90.53,57969.91,84.26,172464.93,92.85,
2019,254546.33,100,68801.58,100,185744.75,100,
2018,262040.97,102.94,77011.06,111.93,185029.91,99.62,
2017,256988.38,100.96,75444.84,109.66,181543.54,97.74,
2016,273381.68,107.4,88538.51,128.69,184843.17,99.51,
2015,270417.87,106.24,83941.94,122.01,186475.93,100.39,
2014,249535.93,98.03,89104.52,129.51,160431.41,86.37,
2022,256085.56,100.6,66135.06,96.12,189950.5,102.26,T
2023,254596.7,100.02,63416.06,92.17,191180.64,102.93,T
2024,253107.85,99.43,60697.06,88.22,192410.79,103.59,T
2025,251619,98.85,57978.06,84.27,193640.94,104.25,T
2026,250130.14,98.27,55259.06,80.32,194871.08,104.91,T
2027,248641.29,97.68,52540.06,76.36,196101.23,105.58,T
2028,247152.44,97.1,49821.06,72.41,197331.38,106.24,T
2029,245663.58,96.51,47102.06,68.46,198561.52,106.9,T
2030,244174.73,95.93,44383.06,64.51,199791.67,107.56,T
2031,242685.88,95.34,41664.06,60.56,201021.82,108.22,T
2032,241197.02,94.76,38945.06,56.6,202251.96,108.89,T
2033,239708.17,94.17,36226.06,52.65,203482.11,109.55,T
2034,238219.32,93.59,33507.06,48.7,204712.26,110.21,T
2035,236730.46,93,30788.06,44.75,205942.4,110.87,T
2036,235241.61,92.42,28069.06,40.8,207172.55,111.54,T
2037,233752.76,91.83,25350.06,36.85,208402.7,112.2,T
2038,232263.9,91.25,22631.06,32.89,209632.84,112.86,T
2039,230775.05,90.66,19912.06,28.94,210862.99,113.52,T
2040,229286.2,90.08,17193.06,24.99,212093.14,114.19,T
2041,227797.34,89.49,14474.06,21.04,213323.28,114.85,T
2042,226308.49,88.91,11755.06,17.09,214553.43,115.51,T
2043,224819.64,88.32,9036.06,13.13,215783.58,116.17,T
2044,223330.78,87.74,6317.06,9.18,217013.72,116.83,T
2045,221841.93,87.15,3598.06,5.23,218243.87,117.5,T
2046,220353.08,86.57,879.06,1.28,219474.02,118.16,T
2047,218864.22,85.98,0,0,220704.16,118.82,T
2048,217375.37,85.4,0,0,221934.31,119.48,T
2049,215886.52,84.81,0,0,223164.46,120.15,T
2050,214397.66,84.23,0,0,224394.6,120.81,T
