年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,199150.58,99.53,120403.93,105.89,78746.65,91.16,
2020,172706.62,86.32,104548.44,91.95,68158.18,78.91,
2019,200084.49,100,113706.21,100,86378.28,100,
2018,204998.05,102.46,113005.02,99.38,91993.03,106.5,
2017,210713.12,105.31,113719.75,100.01,96993.37,112.29,
2016,304212.57,152.04,106640.65,93.79,197571.92,228.73,
2015,211915.79,105.91,121123.26,106.52,90792.53,105.11,
2014,206382.91,103.15,136444.45,120,69938.46,80.97,
2022,197201.42,98.56,122870.23,108.06,74331.19,86.05,T
2023,195252.27,97.58,125336.54,110.23,69915.73,80.94,T
2024,193303.11,96.61,127802.84,112.4,65500.27,75.83,T
2025,191353.95,95.64,130269.14,114.57,61084.81,70.72,T
2026,189404.8,94.66,132735.45,116.74,56669.35,65.61,T
2027,187455.64,93.69,135201.75,118.9,52253.89,60.49,T
2028,185506.48,92.71,137668.05,121.07,47838.43,55.38,T
2029,183557.33,91.74,140134.36,123.24,43422.97,50.27,T
2030,181608.17,90.77,142600.66,125.41,39007.51,45.16,T
2031,179659.01,89.79,145066.96,127.58,34592.05,40.05,T
2032,177709.86,88.82,147533.27,129.75,30176.59,34.94,T
2033,175760.7,87.84,149999.57,131.92,25761.13,29.82,T
2034,173811.54,86.87,152465.87,134.09,21345.67,24.71,T
2035,171862.39,85.89,154932.18,136.26,16930.21,19.6,T
2036,169913.23,84.92,157398.48,138.43,12514.75,14.49,T
2037,167964.07,83.95,159864.78,140.59,8099.29,9.38,T
2038,166014.92,82.97,162331.09,142.76,3683.83,4.26,T
2039,164065.76,82,164797.39,144.93,0,0,T
2040,162116.6,81.02,167263.69,147.1,0,0,T
2041,160167.45,80.05,169730,149.27,0,0,T
2042,158218.29,79.08,172196.3,151.44,0,0,T
2043,156269.13,78.1,174662.6,153.61,0,0,T
2044,154319.98,77.13,177128.91,155.78,0,0,T
2045,152370.82,76.15,179595.21,157.95,0,0,T
2046,150421.66,75.18,182061.51,160.12,0,0,T
2047,148472.51,74.2,184527.82,162.28,0,0,T
2048,146523.35,73.23,186994.12,164.45,0,0,T
2049,144574.19,72.26,189460.42,166.62,0,0,T
2050,142625.04,71.28,191926.73,168.79,0,0,T
