分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,137582.55
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,169878.37
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,307460.92
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,148123.28000000003
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,182403.86
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,330527.14
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,116242.07999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,157743.98
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,273986.06
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,94023.59
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,113651.09
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,207674.68
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,91556.05
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,122629.76
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,214185.81
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2021,134945.22
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2021,174411.84
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2021,309357.06
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,115112.52979999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,137501.2692
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,252613.799
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,66.974
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,178.517
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,7.9959999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.32
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,57.397999999999996
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,160.333
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,7.167999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.259
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,64.652
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,150.666
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,6.232
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.249
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,0.23199999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,59.3
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,120.71000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,6.7330000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.252
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.219
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,39.352000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,89.33900000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,6.737
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.235
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,0.182
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,37.417
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,121.723
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,6.721
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.23199999999999998
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.179
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,49.377
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,200.04399999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,12.309000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.301
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.261
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2022,30.735999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2022,139.974
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2022,9.262
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,0.187
E,空氣污染物申報-有害空氣污染物,甲苯,,,2022,0.187
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2023,10.058
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2023,47.381
