年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,1135953.48,173.08,170304.68,173.13,965648.8,173.07,
2021,1002502.02,152.75,152353.37,154.88,850148.65,152.37,
2020,803354.36,122.4,118975.15,120.95,684379.21,122.66,
2019,656319.81,100,98368.21,100,557951.6,100,
2018,577868.44,88.05,125912.94,128,451955.5,81,
2017,515973.13,78.62,101718.81,103.41,414254.32,74.25,
2016,426860.19,65.04,81860.63,83.22,344999.56,61.83,
2015,352033.22,53.64,71427.02,72.61,280606.2,50.29,
2014,302923.4,46.15,53002.4,53.88,249921,44.79,
2013,273948.2,41.74,46995.93,47.78,226952.27,40.68,
2023,1295831.37,197.44,194283.51,197.51,1101547.86,197.43,T
2024,1455709.26,221.8,218262.33,221.88,1237446.93,221.78,T
2025,1615587.15,246.16,242241.16,246.26,1373346,246.14,T
2026,1775465.04,270.52,266219.98,270.64,1509245.06,270.5,T
2027,1935342.93,294.88,290198.8,295.01,1645144.13,294.85,T
2028,2095220.82,319.24,314177.63,319.39,1781043.19,319.21,T
2029,2255098.71,343.6,338156.45,343.77,1916942.26,343.57,T
2030,2414976.6,367.96,362135.28,368.14,2052841.33,367.92,T
2031,2574854.49,392.32,386114.1,392.52,2188740.39,392.28,T
2032,2734732.38,416.68,410092.93,416.9,2324639.46,416.64,T
2033,2894610.27,441.04,434071.75,441.27,2460538.52,440.99,T
2034,3054488.17,465.4,458050.57,465.65,2596437.59,465.35,T
2035,3214366.06,489.76,482029.4,490.03,2732336.66,489.71,T
2036,3374243.95,514.12,506008.22,514.4,2868235.72,514.07,T
2037,3534121.84,538.48,529987.05,538.78,3004134.79,538.42,T
2038,3693999.73,562.84,553965.87,563.16,3140033.86,562.78,T
2039,3853877.62,587.2,577944.7,587.53,3275932.92,587.14,T
2040,4013755.51,611.55,601923.52,611.91,3411831.99,611.49,T
2041,4173633.4,635.91,625902.34,636.29,3547731.05,635.85,T
2042,4333511.29,660.27,649881.17,660.66,3683630.12,660.21,T
2043,4493389.18,684.63,673859.99,685.04,3819529.19,684.56,T
2044,4653267.07,708.99,697838.82,709.41,3955428.25,708.92,T
2045,4813144.96,733.35,721817.64,733.79,4091327.32,733.28,T
2046,4973022.85,757.71,745796.47,758.17,4227226.38,757.63,T
2047,5132900.74,782.07,769775.29,782.54,4363125.45,781.99,T
2048,5292778.63,806.43,793754.11,806.92,4499024.52,806.35,T
2049,5452656.52,830.79,817732.94,831.3,4634923.58,830.7,T
2050,5612534.41,855.15,841711.76,855.67,4770822.65,855.06,T
