分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,247.433
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,268.125
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,91.37299999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,14.769000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,281.663
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,310.359
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,192.993
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,16.739
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,113.76500000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,87.5
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,59.315999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,2.904
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,180.06900000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,219.18900000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,85.72600000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,11.664000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,172.15400000000005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,207.75700000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,78.07600000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,11.145999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,192.591
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,211.356
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,85.044
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,7.575
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,123.43700000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,145.89800000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,94.907
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,8.793
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,198.282
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,173.66199999999998
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,91.13700000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,10.748999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,164.52599999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,134.478
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,49.253
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,4.061
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,72.456
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,48.28299999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,13.767000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.9940000000000001
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,0.001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,195.049
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,167.01899999999995
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,33.252
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,2.8929999999999993
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2019,0.006
E,空氣污染物申報-有害空氣污染物,重金屬,,,2019,0.032
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,65.13399999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,38.878
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,16.931
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.428
E,空氣污染物申報-有害空氣污染物,戴奧辛,,,2020,0.002
