分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,620
S,員工薪資,薪資中位數,,仟元,2020,506
S,員工薪資,平均薪資,,仟元,2019,616
S,員工薪資,薪資中位數,,仟元,2019,513
S,員工薪資,平均薪資,,仟元,2018,738
G,資本額,資本額,,元,2020,1447522300
G,資本額,資本額,,元,2019,1447522300
G,營運狀況,營業收入,,仟元,2020,15160243
G,營運狀況,營業成本,,仟元,2020,12692356
G,營運狀況,營業費用,,仟元,2020,1771981
G,營運狀況,淨利,,仟元,2020,570727
G,營運狀況,營業收入,,仟元,2019,11258071
G,營運狀況,營業成本,,仟元,2019,9243842
G,營運狀況,營業費用,,仟元,2019,1717569
G,營運狀況,淨利,,仟元,2019,241363
G,營運狀況,營業收入,,仟元,2018,11536269
G,營運狀況,營業成本,,仟元,2018,9573033
G,營運狀況,營業費用,,仟元,2018,1587038
G,營運狀況,淨利,,仟元,2018,366598
G,營運狀況,營業收入,,仟元,2017,10537008
G,營運狀況,營業成本,,仟元,2017,8612973
G,營運狀況,營業費用,,仟元,2017,1527590
G,營運狀況,淨利,,仟元,2017,252737
G,營運狀況,營業收入,,仟元,2016,9744113
G,營運狀況,營業成本,,仟元,2016,7949895
G,營運狀況,營業費用,,仟元,2016,1601053
G,營運狀況,淨利,,仟元,2016,121176
