分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,2002.4099999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,25889.74
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,27892.15
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,3644.41
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,28577.85
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,32222.26
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,3361.8499999999985
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,31240.28
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,34602.13
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,3384.730000000003
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,33782.82
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,37167.55
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,3554.1299999999974
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,32971.8
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,36525.93
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,8142.689999999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,61187.770000000004
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,30757.56
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,6505.89
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,62034.91
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,68540.8
E,能源使用狀況,總用電量,true,度,2020,127864670.83
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,水資源,總取水量,true,噸,2020,2264965
E,水資源,回收水量,true,噸,2020,1044074
E,水資源,耗用水量,true,,2020,無揭露
E,水資源,排放水量,true,,2020,無揭露
E,廢棄物管理,一般事業廢棄物,true,噸,2020,3290.294
E,廢棄物管理,有害事業廢棄物,true,噸,2020,41.52
E,廢棄物管理,資源化再利用,true,噸,2020,3031.67
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,6.8260000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,2.899
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,7.849
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,10.521999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,4.144000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,31.282
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,54.968
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,8.958000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,6.982999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,1.428
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,18.782000000000004
E,空氣污染物申報-有害空氣污染物,重金屬,,,2018,0.006
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.43
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,12.047
E,空氣污染物申報-有害空氣污染物,重金屬,,,2019,0.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,3.0199999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,10.096
E,環境違規,違反環境法規金額-misc,,元,2010,10000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,2116000
E,環境違規,違反環境法規次數-misc,,次,2011,23
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,110000
E,環境違規,違反環境法規次數-水,,次,2011,1
E,環境違規,違反環境法規金額-misc,,元,2013,100000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,210000
E,環境違規,違反環境法規次數-misc,,次,2014,3
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,195000
E,環境違規,違反環境法規次數-水,,次,2014,1
E,環境違規,違反環境法規金額-misc,,元,2016,0
E,環境違規,違反環境法規次數-misc,,次,2016,0
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,2100000
E,環境違規,違反環境法規次數-水,,次,2016,1
E,環境違規,違反環境法規金額-misc,,元,2020,100000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工組成,正式員工,true,人,2020,1114
S,員工組成,性別比,true,人,2020,2.375757575757576
S,員工組成,新進率,true,人,2020,0.34470377019748655
S,員工組成,離職率,true,人,2020,0.3007181328545781
S,員工組成,是否聘用移工,true,人,2020,275
S,員工組成,是否聘用身障人士,true,人,2020,無揭露
S,員工組成,是否聘用原住民,true,人,2020,無揭露
S,員工薪資,平均薪資,,仟元,2020,717
S,員工薪資,薪資中位數,,仟元,2020,650
S,員工薪資,平均薪資,,仟元,2019,724
S,員工薪資,薪資中位數,,仟元,2019,647
S,員工薪資,平均薪資,,仟元,2018,772
S,職業健康,職災事故,true,,2020,3
S,職業健康,工安意外,true,,2020,無揭露
G,資本額,資本額,,元,2020,5408984360
G,資本額,資本額,,元,2019,5408984360
G,是否產製CSR報告,是否編撰報告書,true,,,有
G,稅務透明度,營利事業所得稅稅額,true,元,2020,無揭露
G,稅務透明度,政府補助、補貼金額,true,元,2020,無揭露
G,稅務透明度,研發投入費用,true,元,2020,無揭露
G,ISO認證,ISO 9001,true,,2020,有
G,ISO認證,ISO 14001,true,,2020,有
G,ISO認證,ISO 45001,true,,2020,有
G,ISO認證,ISO 50001,true,,2020,有
