分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.16
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.20500000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.012
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.094
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.122
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.008
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.40399999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.5650000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.041
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.059
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.086
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.177
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.258
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.026000000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.178
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.257
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.019999999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.635
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.921
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.048
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.18
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.26
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.006
E,環境違規,違反環境法規金額-misc,,元,2017,13200
E,環境違規,違反環境法規次數-misc,,次,2017,3
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
S,員工薪資,平均薪資,,仟元,2020,463
S,員工薪資,薪資中位數,,仟元,2020,411
S,員工薪資,平均薪資,,仟元,2019,431
S,員工薪資,薪資中位數,,仟元,2019,403
S,員工薪資,平均薪資,,仟元,2018,443
G,資本額,資本額,,元,2020,724788000
G,資本額,資本額,,元,2019,724788000
