年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,172719.1,110.67,75082.89,136.68,97636.21,96.55,
2019,156061.3,100,54934.55,100,101126.75,100,
2018,176696.89,113.22,59110.6,107.6,117586.29,116.28,
2017,212867.94,136.4,69411.12,126.35,143456.82,141.86,
2016,192092.86,123.09,63033.74,114.74,129059.12,127.62,
2015,167335.15,107.22,55911.28,101.78,111423.87,110.18,
2014,189754.67,121.59,64044.1,116.58,125710.57,124.31,
2013,181238.94,116.13,60900.91,110.86,120338.03,119,
2021,159336.15,102.1,76973.48,140.12,82362.67,81.44,T
2022,145953.21,93.52,78864.07,143.56,67089.14,66.34,T
2023,132570.26,84.95,80754.66,147,51815.6,51.24,T
2024,119187.31,76.37,82645.25,150.44,36542.06,36.13,T
2025,105804.37,67.8,84535.84,153.88,21268.53,21.03,T
2026,92421.42,59.22,86426.43,157.33,5994.99,5.93,T
2027,79038.47,50.65,88317.02,160.77,0,0,T
2028,65655.53,42.07,90207.61,164.21,0,0,T
2029,52272.58,33.49,92098.2,167.65,0,0,T
2030,38889.63,24.92,93988.79,171.09,0,0,T
2031,25506.69,16.34,95879.38,174.53,0,0,T
2032,12123.74,7.77,97769.97,177.98,0,0,T
2033,0,0,99660.56,181.42,0,0,T
2034,0,0,101551.15,184.86,0,0,T
2035,0,0,103441.74,188.3,0,0,T
2036,0,0,105332.33,191.74,0,0,T
2037,0,0,107222.92,195.18,0,0,T
2038,0,0,109113.51,198.62,0,0,T
2039,0,0,111004.1,202.07,0,0,T
2040,0,0,112894.69,205.51,0,0,T
2041,0,0,114785.28,208.95,0,0,T
2042,0,0,116675.87,212.39,0,0,T
2043,0,0,118566.46,215.83,0,0,T
2044,0,0,120457.05,219.27,0,0,T
2045,0,0,122347.64,222.72,0,0,T
2046,0,0,124238.23,226.16,0,0,T
2047,0,0,126128.82,229.6,0,0,T
2048,0,0,128019.41,233.04,0,0,T
2049,0,0,129910,236.48,0,0,T
2050,0,0,131800.59,239.92,0,0,T
