分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,1503.6679999999978
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,147745.272
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,149248.94
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,1.257
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,1.864
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,2.454
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,3.347
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,4.11
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,6.424999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,8.397
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,8.044999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,10.213
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,55.87799999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,92.07400000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,79.04000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,71.44200000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,60.428
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,27.509000000000007
E,環境違規,違反環境法規金額-misc,,元,2019,20000
E,環境違規,違反環境法規次數-misc,,次,2019,2
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2022,20000
E,環境違規,違反環境法規次數-misc,,次,2022,2
E,環境違規,違反環境法規金額-空氣,,元,2022,0
E,環境違規,違反環境法規次數-空氣,,次,2022,0
E,環境違規,違反環境法規金額-水,,元,2022,0
E,環境違規,違反環境法規次數-水,,次,2022,0
E,環境違規,違反環境法規金額-misc,,元,2023,6000
E,環境違規,違反環境法規次數-misc,,次,2023,1
E,環境違規,違反環境法規金額-空氣,,元,2023,0
E,環境違規,違反環境法規次數-空氣,,次,2023,0
E,環境違規,違反環境法規金額-水,,元,2023,0
E,環境違規,違反環境法規次數-水,,次,2023,0
S,員工薪資,平均薪資,,仟元,2020,1259
S,員工薪資,薪資中位數,,仟元,2020,779
S,員工薪資,平均薪資,,仟元,2019,1392
S,員工薪資,薪資中位數,,仟元,2019,752
S,員工薪資,平均薪資,,仟元,2018,1305
G,資本額,資本額,,元,2020,1341401970
G,資本額,資本額,,元,2019,1341401970
G,營運狀況,營業收入,,仟元,2020,55944489
G,營運狀況,營業成本,,仟元,2020,18476853
G,營運狀況,營業費用,,仟元,2020,5440116
G,營運狀況,淨利,,仟元,2020,24534131
G,營運狀況,營業收入,,仟元,2019,60745008
G,營運狀況,營業成本,,仟元,2019,18823588
G,營運狀況,營業費用,,仟元,2019,5441283
G,營運狀況,淨利,,仟元,2019,28263082
G,營運狀況,營業收入,,仟元,2018,49952158
G,營運狀況,營業成本,,仟元,2018,15594576
G,營運狀況,營業費用,,仟元,2018,4739535
G,營運狀況,淨利,,仟元,2018,24369534
G,營運狀況,營業收入,,仟元,2017,53127510
G,營運狀況,營業成本,,仟元,2017,16279606
G,營運狀況,營業費用,,仟元,2017,4762628
G,營運狀況,淨利,,仟元,2017,25975623
G,營運狀況,營業收入,,仟元,2016,48351791
G,營運狀況,營業成本,,仟元,2016,15903015
G,營運狀況,營業費用,,仟元,2016,4507293
G,營運狀況,淨利,,仟元,2016,22733025
