分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,無
S,員工薪資,平均薪資,,仟元,2020,723
S,員工薪資,薪資中位數,,仟元,2020,639
S,員工薪資,平均薪資,,仟元,2019,641
S,員工薪資,薪資中位數,,仟元,2019,546
S,員工薪資,平均薪資,,仟元,2018,758
G,資本額,資本額,,元,2020,801341160
G,資本額,資本額,,元,2019,801341160
G,營運狀況,營業收入,,仟元,2020,2427607
G,營運狀況,營業成本,,仟元,2020,1711540
G,營運狀況,營業費用,,仟元,2020,513245
G,營運狀況,淨利,,仟元,2020,415518
G,營運狀況,營業收入,,仟元,2019,1942637
G,營運狀況,營業成本,,仟元,2019,1390768
G,營運狀況,營業費用,,仟元,2019,342219
G,營運狀況,淨利,,仟元,2019,176434
G,營運狀況,營業收入,,仟元,2018,3986979
G,營運狀況,營業成本,,仟元,2018,2868244
G,營運狀況,營業費用,,仟元,2018,592417
G,營運狀況,淨利,,仟元,2018,447860
G,營運狀況,營業收入,,仟元,2017,3540952
G,營運狀況,營業成本,,仟元,2017,2549734
G,營運狀況,營業費用,,仟元,2017,504367
G,營運狀況,淨利,,仟元,2017,349039
G,營運狀況,營業收入,,仟元,2016,2017228
G,營運狀況,營業成本,,仟元,2016,1432031
G,營運狀況,營業費用,,仟元,2016,350186
G,營運狀況,淨利,,仟元,2016,183634
