分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,無
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,5.630000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,6.342
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,7.258
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,8.712
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,10.013
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,19.82
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,12.158999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,12.661
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,9.802
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,6.751999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,4.401999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,2.5780000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,3.6660000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2022,3.593
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2023,1.594
S,員工薪資,平均薪資,,仟元,2020,466
S,員工薪資,薪資中位數,,仟元,2020,415
S,員工薪資,平均薪資,,仟元,2019,444
S,員工薪資,薪資中位數,,仟元,2019,389
S,員工薪資,平均薪資,,仟元,2018,483
G,資本額,資本額,,元,2020,500000000
G,資本額,資本額,,元,2019,500000000
