分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,配合經濟部「能源管理法」之節約能源目標及執行計畫，本公司年度總用電量節電以1%為目標。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,僅有節電承諾
S,員工薪資,平均薪資,,仟元,2020,556
S,員工薪資,薪資中位數,,仟元,2020,462
S,員工薪資,平均薪資,,仟元,2019,562
S,員工薪資,薪資中位數,,仟元,2019,466
S,員工薪資,平均薪資,,仟元,2018,585
G,資本額,資本額,,元,2020,1326414000
G,資本額,資本額,,元,2019,1326414000
G,營運狀況,營業收入,,仟元,2020,1271905
G,營運狀況,營業成本,,仟元,2020,1124021
G,營運狀況,營業費用,,仟元,2020,106436
G,營運狀況,淨利,,仟元,2020,97497
G,營運狀況,營業收入,,仟元,2019,1918138
G,營運狀況,營業成本,,仟元,2019,1616812
G,營運狀況,營業費用,,仟元,2019,126263
G,營運狀況,淨利,,仟元,2019,176038
G,營運狀況,營業收入,,仟元,2016,1973843
G,營運狀況,營業成本,,仟元,2016,1663401
G,營運狀況,營業費用,,仟元,2016,124256
G,營運狀況,淨利,,仟元,2016,199508
