分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2014,31534.29
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2014,23022.36
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2015,29950.57
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2015,22253.72
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2016,29527.06
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2016,22722.45
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2016,1186.244116117247
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2017,23121.989999999998
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2017,19580.58
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2017,972.0585276043455
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2018,26412.069999999996
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2018,21280.77
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2018,955.5575012407082
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2019,20307.29
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2019,16237.51
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2019,924.0805923048915
E,空氣污染物申報,氮氧化物,,2009,51.751999999999995
E,空氣污染物申報,硫氧化物,,2009,82.913
E,空氣污染物申報,粒狀污染物,,2009,434.512
E,空氣污染物申報,揮發性有機化合物,,2009,0
E,空氣污染物申報,氮氧化物,,2011,12.956999999999999
E,空氣污染物申報,硫氧化物,,2011,17.477000000000004
E,空氣污染物申報,粒狀污染物,,2011,3.291
E,空氣污染物申報,揮發性有機化合物,,2011,0
E,空氣污染物申報,氮氧化物,,2012,62.033
E,空氣污染物申報,硫氧化物,,2012,84.313
E,空氣污染物申報,粒狀污染物,,2012,18.179
E,空氣污染物申報,揮發性有機化合物,,2012,0
E,空氣污染物申報,氮氧化物,,2013,58.543
E,空氣污染物申報,硫氧化物,,2013,81.594
E,空氣污染物申報,粒狀污染物,,2013,14.834
E,空氣污染物申報,揮發性有機化合物,,2013,0.001
E,空氣污染物申報,氮氧化物,,2014,32.293
E,空氣污染物申報,硫氧化物,,2014,45.89
E,空氣污染物申報,粒狀污染物,,2014,6.791
E,空氣污染物申報,揮發性有機化合物,,2014,0.14600000000000002
E,空氣污染物申報,氮氧化物,,2015,30.909000000000002
E,空氣污染物申報,硫氧化物,,2015,42.807
E,空氣污染物申報,粒狀污染物,,2015,6.486
E,空氣污染物申報,揮發性有機化合物,,2015,0.003
E,空氣污染物申報,氮氧化物,,2016,24.263999999999996
E,空氣污染物申報,硫氧化物,,2016,31.758000000000003
E,空氣污染物申報,粒狀污染物,,2016,4.316000000000001
E,空氣污染物申報,揮發性有機化合物,,2016,0
