分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,間接(範疇二)溫室氣體排放量減量目標尚待訂定。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,0.161
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,1.078
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,1.478
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.092
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.033
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.8520000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.276
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.097
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,2.8339999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.4
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.142
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,6.093999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.129
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.045
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,3.5330000000000004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.219
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.07100000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,8.865
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.091
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.014
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,12.536000000000001
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2017,0.155
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,7.532
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,0.929
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.069
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,13.433999999999997
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2018,0.144
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,7.162
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,1.223
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,8.387
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2019,0.04
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,3.7179999999999995
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,1.012
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,6.785
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2020,0.047999999999999994
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,3.52
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,0.687
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,3.932
E,空氣污染物申報-有害空氣污染物,苯乙烯,,,2021,0.012
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,2.4219999999999997
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,0.309
E,環境違規,違反環境法規金額-misc,,元,2013,100000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2015,60000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2019,118000
E,環境違規,違反環境法規次數-misc,,次,2019,4
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,579
S,員工薪資,薪資中位數,,仟元,2020,503
S,員工薪資,平均薪資,,仟元,2019,566
S,員工薪資,薪資中位數,,仟元,2019,522
S,員工薪資,平均薪資,,仟元,2018,487
G,資本額,資本額,,元,2020,1494387800
G,資本額,資本額,,元,2019,1494387800
