分類,子分類,項目,來自公司報告,單位,年份,數值
G,資本額,資本額,,元,2020,695466200
G,資本額,資本額,,元,2019,695466200
G,營運狀況,營業收入,,仟元,2020,2823474
G,營運狀況,營業成本,,仟元,2020,2384791
G,營運狀況,營業費用,,仟元,2020,314125
G,營運狀況,淨利,,仟元,2020,149738
G,營運狀況,營業收入,,仟元,2019,2311063
G,營運狀況,營業成本,,仟元,2019,2011368
G,營運狀況,營業費用,,仟元,2019,238699
G,營運狀況,淨利,,仟元,2019,179600
G,營運狀況,營業收入,,仟元,2018,3183595
G,營運狀況,營業成本,,仟元,2018,2917033
G,營運狀況,營業費用,,仟元,2018,428210
G,營運狀況,淨利,,仟元,2018,-229976
G,營運狀況,營業收入,,仟元,2017,4124459
G,營運狀況,營業成本,,仟元,2017,3822415
G,營運狀況,營業費用,,仟元,2017,281318
G,營運狀況,淨利,,仟元,2017,111778
G,營運狀況,營業收入,,仟元,2016,5099126
G,營運狀況,營業成本,,仟元,2016,4603253
G,營運狀況,營業費用,,仟元,2016,295219
G,營運狀況,淨利,,仟元,2016,180391
