分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,2.8020000000000005
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,2.251
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,9.335
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,9.264999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,10.988999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,4.962999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,3.993
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,4.419999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,3.5900000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,3.816
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.10700000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,6.537000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,6.385
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.171
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,3.595
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,3.034
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.026
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.108
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,5.622
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.8899999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.07100000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.122
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,8.063
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.031
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.097
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,10.196
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.236
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.198
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,6.226000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.18900000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.032
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,8.322000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.41200000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.118
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,7.787000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.31800000000000006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.215
E,環境違規,違反環境法規金額-misc,,元,2013,106000
E,環境違規,違反環境法規次數-misc,,次,2013,2
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,100000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2018,334000
E,環境違規,違反環境法規次數-misc,,次,2018,4
E,環境違規,違反環境法規金額-空氣,,元,2018,100000
E,環境違規,違反環境法規次數-空氣,,次,2018,1
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,0
E,環境違規,違反環境法規次數-misc,,次,2019,0
E,環境違規,違反環境法規金額-空氣,,元,2019,100000
E,環境違規,違反環境法規次數-空氣,,次,2019,1
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,0
E,環境違規,違反環境法規次數-misc,,次,2020,0
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,144000
E,環境違規,違反環境法規次數-水,,次,2020,2
S,員工薪資,平均薪資,,仟元,2020,627
S,員工薪資,薪資中位數,,仟元,2020,614
S,員工薪資,平均薪資,,仟元,2019,603
S,員工薪資,薪資中位數,,仟元,2019,587
S,員工薪資,平均薪資,,仟元,2018,685
G,資本額,資本額,,元,2020,1334160000
G,資本額,資本額,,元,2019,1334160000
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
