分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,隨著每年的溫室氣體盤查結果動態調整節能減碳政策與計畫，溫室氣體排放透過節能政策、節能計劃的制定與實施，導入節能設施、設備，鼓勵員工節能減碳等方式，微星科技以2007年經外部查證的溫室氣體排放量為基準年，企業溫室氣體排放量減量目標設2025年碳排放比2007年降低50%。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
S,員工薪資,平均薪資,,仟元,2020,1414
S,員工薪資,薪資中位數,,仟元,2020,1215
S,員工薪資,平均薪資,,仟元,2019,1320
S,員工薪資,薪資中位數,,仟元,2019,1105
S,員工薪資,平均薪資,,仟元,2018,1390
G,資本額,資本額,,元,2020,8448561000
G,資本額,資本額,,元,2019,8448561000
G,營運狀況,營業收入,,仟元,2020,146502789
G,營運狀況,營業成本,,仟元,2020,125199949
G,營運狀況,營業費用,,仟元,2020,12115012
G,營運狀況,淨利,,仟元,2020,7959505
G,營運狀況,營業收入,,仟元,2019,120491417
G,營運狀況,營業成本,,仟元,2019,104629261
G,營運狀況,營業費用,,仟元,2019,9909750
G,營運狀況,淨利,,仟元,2019,5587210
G,營運狀況,營業收入,,仟元,2018,118527273
G,營運狀況,營業成本,,仟元,2018,102397587
G,營運狀況,營業費用,,仟元,2018,9437736
G,營運狀況,淨利,,仟元,2018,6041129
G,營運狀況,營業收入,,仟元,2017,106419905
G,營運狀況,營業成本,,仟元,2017,91388612
G,營運狀況,營業費用,,仟元,2017,9417633
G,營運狀況,淨利,,仟元,2017,4937422
G,營運狀況,營業收入,,仟元,2016,102190503
G,營運狀況,營業成本,,仟元,2016,87238833
G,營運狀況,營業費用,,仟元,2016,9432731
G,營運狀況,淨利,,仟元,2016,4887942
