分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2022,179
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2022,12273
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2022,53595
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2022,12452
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2020,160
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2020,9667
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2020,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2020,9827
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2021,137
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2021,13011
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2021,54792
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2021,13148
E,能源使用狀況,總用電量,true,度（KWh）,2022,24111080
E,能源使用狀況,再生能源設置量,true,瓩（KW）,2022,0
E,能源使用狀況,再生能源發電量,true,度（KWh）,2022,0
E,能源使用狀況,總用電量,true,度（KWh）,2021,25917440
E,能源使用狀況,再生能源設置量,true,,2021,NA
E,能源使用狀況,再生能源發電量,true,,2021,NA
E,能源使用狀況,總用電量,true,度,2020,18992610
E,能源使用狀況,再生能源設置量,true,,2020,NA
E,能源使用狀況,再生能源發電量,true,,2020,NA
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,"1.廢水排放低於標準值(COD小於等於100ppm; SS小於等於30ppm)。2.減少空污排放提升廠內空氣品質。3.生活垃圾/員工人數小於等於0.1噸。4.能源消耗/產品重量小於等於6,500 (MJ/噸)。"
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,水資源,總取水量,true,,2021,29726
E,水資源,回收水量,true,,2021,0
E,水資源,耗用水量,true,,2021,5320
E,水資源,排放水量,true,,2021,24410
E,水資源,總取水量,true,,2022,31135
E,水資源,回收水量,true,,2022,0
E,水資源,耗用水量,true,,2022,6200
E,水資源,排放水量,true,,2022,24930
E,水資源,總取水量,true,噸,2020,27930
E,水資源,回收水量,true,,2020,無揭露
E,水資源,耗用水量,true,噸,2020,5380
E,水資源,排放水量,true,噸,2020,22550
E,廢棄物管理,一般事業廢棄物,true,,2022,266.74
E,廢棄物管理,有害事業廢棄物,true,,2022,NA
