分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,1143
S,員工薪資,薪資中位數,,仟元,2020,859
S,員工薪資,平均薪資,,仟元,2019,1015
S,員工薪資,薪資中位數,,仟元,2019,766
S,員工薪資,平均薪資,,仟元,2018,1153
G,資本額,資本額,,元,2020,6356888860
G,資本額,資本額,,元,2019,6356888860
G,營運狀況,營業收入,,仟元,2020,84602841
G,營運狀況,營業成本,,仟元,2020,70138404
G,營運狀況,營業費用,,仟元,2020,10246602
G,營運狀況,淨利,,仟元,2020,4331235
G,營運狀況,營業收入,,仟元,2019,61781254
G,營運狀況,營業成本,,仟元,2019,52190385
G,營運狀況,營業費用,,仟元,2019,8143636
G,營運狀況,淨利,,仟元,2019,1907543
G,營運狀況,營業收入,,仟元,2018,60923590
G,營運狀況,營業成本,,仟元,2018,50800376
G,營運狀況,營業費用,,仟元,2018,7847626
G,營運狀況,淨利,,仟元,2018,2496125
G,營運狀況,營業收入,,仟元,2017,59884781
G,營運狀況,營業成本,,仟元,2017,49685924
G,營運狀況,營業費用,,仟元,2017,7972507
G,營運狀況,淨利,,仟元,2017,2713506
G,營運狀況,營業收入,,仟元,2016,52347389
G,營運狀況,營業成本,,仟元,2016,43277692
G,營運狀況,營業費用,,仟元,2016,7380699
G,營運狀況,淨利,,仟元,2016,2284350
