分類,子分類,項目,來自公司報告,單位,年份,數值
E,環境違規,違反環境法規金額,,元,2014,100000
E,環境違規,違反環境法規次數,,次,2014,1
E,環境違規,違反環境法規金額,,元,2020,19500
E,環境違規,違反環境法規次數,,次,2020,1
S,員工薪資,平均薪資,,仟元,2020,716
S,員工薪資,薪資中位數,,仟元,2020,615
S,員工薪資,平均薪資,,仟元,2019,617
S,員工薪資,薪資中位數,,仟元,2019,550
S,員工薪資,平均薪資,,仟元,2018,703
G,資本額,資本額,,元,2020,3181908280
G,資本額,資本額,,元,2019,3181908280
G,營運狀況,營業收入,,仟元,2020,9852311
G,營運狀況,營業成本,,仟元,2020,9039615
G,營運狀況,營業費用,,仟元,2020,342376
G,營運狀況,淨利,,仟元,2020,845733
G,營運狀況,營業收入,,仟元,2019,8477785
G,營運狀況,營業成本,,仟元,2019,8301224
G,營運狀況,營業費用,,仟元,2019,274679
G,營運狀況,淨利,,仟元,2019,118116
G,營運狀況,營業收入,,仟元,2018,8836319
G,營運狀況,營業成本,,仟元,2018,7964598
G,營運狀況,營業費用,,仟元,2018,300035
G,營運狀況,淨利,,仟元,2018,1000012
G,營運狀況,營業收入,,仟元,2017,8351912
G,營運狀況,營業成本,,仟元,2017,7238113
G,營運狀況,營業費用,,仟元,2017,344505
G,營運狀況,淨利,,仟元,2017,1073532
G,營運狀況,營業收入,,仟元,2016,6411686
G,營運狀況,營業成本,,仟元,2016,5494697
G,營運狀況,營業費用,,仟元,2016,243878
G,營運狀況,淨利,,仟元,2016,749784
