分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,規劃未來逐年減少5%溫室氣體減量為管理目標
E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.041
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.17500000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.154
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.26299999999999996
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.119
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,0.006
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.10800000000000001
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,0.004
E,環境違規,違反環境法規金額-misc,,元,2016,18000
E,環境違規,違反環境法規次數-misc,,次,2016,3
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
S,員工薪資,平均薪資,,仟元,2020,663
S,員工薪資,薪資中位數,,仟元,2020,645
S,員工薪資,平均薪資,,仟元,2019,635
S,員工薪資,薪資中位數,,仟元,2019,616
S,員工薪資,平均薪資,,仟元,2018,667
G,資本額,資本額,,元,2020,626712290
G,資本額,資本額,,元,2019,626712290
G,營運狀況,營業收入,,仟元,2020,4808261
G,營運狀況,營業成本,,仟元,2020,3268381
G,營運狀況,營業費用,,仟元,2020,470828
G,營運狀況,淨利,,仟元,2020,721362
G,營運狀況,營業收入,,仟元,2019,3957144
G,營運狀況,營業成本,,仟元,2019,3078431
G,營運狀況,營業費用,,仟元,2019,499710
G,營運狀況,淨利,,仟元,2019,337622
G,營運狀況,營業收入,,仟元,2018,4218842
G,營運狀況,營業成本,,仟元,2018,3421025
G,營運狀況,營業費用,,仟元,2018,479562
G,營運狀況,淨利,,仟元,2018,241752
G,營運狀況,營業收入,,仟元,2017,4019508
G,營運狀況,營業成本,,仟元,2017,3025468
G,營運狀況,營業費用,,仟元,2017,397124
G,營運狀況,淨利,,仟元,2017,435894
G,營運狀況,營業收入,,仟元,2016,4136945
G,營運狀況,營業成本,,仟元,2016,3059644
G,營運狀況,營業費用,,仟元,2016,459404
G,營運狀況,淨利,,仟元,2016,602076
