分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,12.581999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,17.029
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,5.212999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,92.115
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,4.736
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,6.384
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,3.086
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,72.862
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,2.487
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,3.1420000000000003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,1.8130000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,51.006
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,5.22
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,6.636
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,1.896
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,72.124
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,3.4530000000000003
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,4.311
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,2.834
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,34.776
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,4.148
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,5.090999999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,1.191
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,26.422
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.843
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,1.215
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.17300000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,1.1340000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.378
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.251
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.187
E,環境違規,違反環境法規金額-misc,,元,2010,60000
E,環境違規,違反環境法規次數-misc,,次,2010,1
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,60000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,100000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
S,員工薪資,平均薪資,,仟元,2020,938
S,員工薪資,薪資中位數,,仟元,2020,585
S,員工薪資,平均薪資,,仟元,2019,675
S,員工薪資,薪資中位數,,仟元,2019,545
S,員工薪資,平均薪資,,仟元,2018,1057
G,資本額,資本額,,元,2020,734028910
G,資本額,資本額,,元,2019,734028910
