分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,3.1060000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.24
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,0.204
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.017000000000000005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,0.8859999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.16799999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,0.21200000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.214
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,0.45100000000000007
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.307
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.518
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.075
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.113
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.014
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,0.027
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.045
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,0.045
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,0.015
E,環境違規,違反環境法規金額-misc,,元,2019,120000
E,環境違規,違反環境法規次數-misc,,次,2019,2
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2021,60000
E,環境違規,違反環境法規次數-misc,,次,2021,1
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,855
S,員工薪資,薪資中位數,,仟元,2020,763
S,員工薪資,平均薪資,,仟元,2019,836
S,員工薪資,薪資中位數,,仟元,2019,755
S,員工薪資,平均薪資,,仟元,2018,827
G,資本額,資本額,,元,2020,1182016790
G,資本額,資本額,,元,2019,1182016790
