分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,20.720000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,18.207
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,66.93799999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,33.233999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,31.998000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.005
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,31.809999999999995
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,16.004
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,36.83
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,34.748999999999995
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,4.8759999999999994
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,7.369
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,1.198
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,60.001999999999995
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,11.775
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,160.82
E,空氣污染物申報-有害空氣污染物,甲苯,,,2020,26.029000000000003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,109.518
E,空氣污染物申報-有害空氣污染物,甲苯,,,2021,18.218
E,環境違規,違反環境法規金額-misc,,元,2011,20000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2012,100000
E,環境違規,違反環境法規次數-misc,,次,2012,1
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,6000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,200000
E,環境違規,違反環境法規次數-空氣,,次,2013,1
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,6000
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,6000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2016,6000
E,環境違規,違反環境法規次數-misc,,次,2016,1
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,106000
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2019,6000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,566
S,員工薪資,薪資中位數,,仟元,2020,480
S,員工薪資,平均薪資,,仟元,2019,568
S,員工薪資,薪資中位數,,仟元,2019,481
S,員工薪資,平均薪資,,仟元,2018,557
G,資本額,資本額,,元,2020,548171400
G,資本額,資本額,,元,2019,548171400
