分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.506
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.727
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,1.701
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,3.2430000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,0.7419999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,0.644
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,7.026
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.8380000000000001
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,1.9569999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,0.603
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,1.254
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,2.016
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.738
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.046
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,1.449
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,17.776999999999997
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.567
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,1.1139999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,14.664999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.798
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.003
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,2.7439999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,8.33
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,1.9240000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.008
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,6.33
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,20.148
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,2.435
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,2.1159999999999997
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,17.618000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,2.299
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,1.386
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,16.839000000000002
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,1.629
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,2.334
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,1.2229999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,17.084000000000003
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,1.6820000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,7.231
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.905
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,17.148000000000003
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2019,3.4369999999999994
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,3.173
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.537
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,14.073999999999998
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2020,1.881
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,1.02
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.5309999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,10.017999999999999
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2021,2.644
E,環境違規,違反環境法規金額-misc,,元,2013,6000
E,環境違規,違反環境法規次數-misc,,次,2013,1
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,1500
E,環境違規,違反環境法規次數-misc,,次,2014,1
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2018,44500
E,環境違規,違反環境法規次數-misc,,次,2018,3
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
S,員工薪資,平均薪資,,仟元,2020,720
S,員工薪資,薪資中位數,,仟元,2020,619
S,員工薪資,平均薪資,,仟元,2019,681
S,員工薪資,薪資中位數,,仟元,2019,591
S,員工薪資,平均薪資,,仟元,2018,664
G,資本額,資本額,,元,2020,1353127220
G,資本額,資本額,,元,2019,1353127220
