分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,1.73
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,5.003
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,5.8790000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,8.635
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.009000000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,28.176000000000002
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,17.962000000000003
E,環境違規,違反環境法規金額-misc,,元,2020,12000
E,環境違規,違反環境法規次數-misc,,次,2020,1
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
S,員工薪資,平均薪資,,仟元,2020,1030
S,員工薪資,薪資中位數,,仟元,2020,665
S,員工薪資,平均薪資,,仟元,2019,1079
S,員工薪資,薪資中位數,,仟元,2019,687
S,員工薪資,平均薪資,,仟元,2018,1133
G,資本額,資本額,,元,2020,5598473970
G,資本額,資本額,,元,2019,5598473970
G,營運狀況,營業收入,,仟元,2020,54462872
G,營運狀況,營業成本,,仟元,2020,42908810
G,營運狀況,營業費用,,仟元,2020,5151399
G,營運狀況,淨利,,仟元,2020,5048640
G,營運狀況,營業收入,,仟元,2019,55401047
G,營運狀況,營業成本,,仟元,2019,44402285
G,營運狀況,營業費用,,仟元,2019,4958779
G,營運狀況,淨利,,仟元,2019,4949572
G,營運狀況,營業收入,,仟元,2018,43092155
G,營運狀況,營業成本,,仟元,2018,35312058
G,營運狀況,營業費用,,仟元,2018,4307389
G,營運狀況,淨利,,仟元,2018,2952181
G,營運狀況,營業收入,,仟元,2017,36446757
G,營運狀況,營業成本,,仟元,2017,29260722
G,營運狀況,營業費用,,仟元,2017,3931830
G,營運狀況,淨利,,仟元,2017,2554529
G,營運狀況,營業收入,,仟元,2016,29368753
G,營運狀況,營業成本,,仟元,2016,23362750
G,營運狀況,營業費用,,仟元,2016,3581432
G,營運狀況,淨利,,仟元,2016,1887499
