分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.87
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,0.202
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,2.1390000000000002
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,1.373
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,2.122
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,0.294
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.335
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.11800000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,0.395
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.234
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.10800000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,0.162
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.186
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.053000000000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,0.11499999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.46799999999999997
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.119
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,0.21700000000000003
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.474
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.08900000000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,0.138
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.6859999999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,0.081
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.20099999999999998
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.7720000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.097
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,0.193
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.9640000000000002
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.106
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.186
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,2.504
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.252
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.2
E,環境違規,違反環境法規金額-misc,,元,2011,110000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
S,員工薪資,平均薪資,,仟元,2020,525
S,員工薪資,薪資中位數,,仟元,2020,507
S,員工薪資,平均薪資,,仟元,2019,511
S,員工薪資,薪資中位數,,仟元,2019,492
S,員工薪資,平均薪資,,仟元,2018,538
G,資本額,資本額,,元,2020,902202000
G,資本額,資本額,,元,2019,902202000
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
