分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體排放及減量資訊,,,2021,本年度較上一年溫室氣體排放量減少 1%，期望下年度能達成每年較上一年溫室氣體排放量減少 1%。
S,員工薪資,平均薪資,,仟元,2020,1035
S,員工薪資,薪資中位數,,仟元,2020,942
S,員工薪資,平均薪資,,仟元,2019,1013
S,員工薪資,薪資中位數,,仟元,2019,898
S,員工薪資,平均薪資,,仟元,2018,1003
G,資本額,資本額,,元,2020,5289503950
G,資本額,資本額,,元,2019,5289503950
G,營運狀況,營業收入,,仟元,2020,4728014
G,營運狀況,營業成本,,仟元,2020,3283081
G,營運狀況,營業費用,,仟元,2020,1455088
G,營運狀況,淨利,,仟元,2020,493106
G,營運狀況,營業收入,,仟元,2019,3129360
G,營運狀況,營業成本,,仟元,2019,2186703
G,營運狀況,營業費用,,仟元,2019,965884
G,營運狀況,淨利,,仟元,2019,376595
G,營運狀況,營業收入,,仟元,2018,19304665
G,營運狀況,營業成本,,仟元,2018,14445551
G,營運狀況,營業費用,,仟元,2018,5260115
G,營運狀況,淨利,,仟元,2018,1509132
G,營運狀況,營業收入,,仟元,2017,14210657
G,營運狀況,營業成本,,仟元,2017,10715711
G,營運狀況,營業費用,,仟元,2017,3837216
G,營運狀況,淨利,,仟元,2017,2673984
G,營運狀況,營業收入,,仟元,2016,10533185
G,營運狀況,營業成本,,仟元,2016,7063102
G,營運狀況,營業費用,,仟元,2016,3586490
G,營運狀況,淨利,,仟元,2016,42457
