分類,子分類,項目,來自公司報告,單位,年份,數值
S,員工薪資,平均薪資,,仟元,2020,782
S,員工薪資,薪資中位數,,仟元,2020,649
S,員工薪資,平均薪資,,仟元,2019,791
S,員工薪資,薪資中位數,,仟元,2019,625
S,員工薪資,平均薪資,,仟元,2018,758
G,資本額,資本額,,元,2020,945997770
G,資本額,資本額,,元,2019,945997770
G,營運狀況,營業收入,,仟元,2020,1075547
G,營運狀況,營業成本,,仟元,2020,892458
G,營運狀況,營業費用,,仟元,2020,236564
G,營運狀況,淨利,,仟元,2020,-34701
G,營運狀況,營業收入,,仟元,2019,1563994
G,營運狀況,營業成本,,仟元,2019,1368180
G,營運狀況,營業費用,,仟元,2019,350386
G,營運狀況,淨利,,仟元,2019,-115913
G,營運狀況,營業收入,,仟元,2018,2428662
G,營運狀況,營業成本,,仟元,2018,2184577
G,營運狀況,營業費用,,仟元,2018,343102
G,營運狀況,淨利,,仟元,2018,-55506
G,營運狀況,營業收入,,仟元,2017,3085255
G,營運狀況,營業成本,,仟元,2017,2754186
G,營運狀況,營業費用,,仟元,2017,397405
G,營運狀況,淨利,,仟元,2017,-67123
G,營運狀況,營業收入,,仟元,2016,4101046
G,營運狀況,營業成本,,仟元,2016,3592969
G,營運狀況,營業費用,,仟元,2016,463081
G,營運狀況,淨利,,仟元,2016,63363
