年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2022,29477.18,90.88,23550.64,90.75,5926.54,91.44,
2021,32617.51,100.57,25808.62,99.45,6808.89,105.05,
2020,34101.69,105.14,27799.58,107.12,6302.11,97.23,
2019,32433.83,100,25952.33,100,6481.5,100,
2023,28491.63,87.85,22750.08,87.66,5741.55,88.58,T
2024,27506.07,84.81,21949.52,84.58,5556.56,85.73,T
2025,26520.52,81.77,21148.95,81.49,5371.57,82.88,T
2026,25534.97,78.73,20348.39,78.41,5186.58,80.02,T
2027,24549.42,75.69,19547.83,75.32,5001.6,77.17,T
2028,23563.87,72.65,18747.26,72.24,4816.61,74.31,T
2029,22578.32,69.61,17946.7,69.15,4631.62,71.46,T
2030,21592.77,66.57,17146.14,66.07,4446.63,68.6,T
2031,20607.22,63.54,16345.57,62.98,4261.64,65.75,T
2032,19621.67,60.5,15545.01,59.9,4076.66,62.9,T
2033,18636.12,57.46,14744.45,56.81,3891.67,60.04,T
2034,17650.56,54.42,13943.88,53.73,3706.68,57.19,T
2035,16665.01,51.38,13143.32,50.64,3521.69,54.33,T
2036,15679.46,48.34,12342.76,47.56,3336.7,51.48,T
2037,14693.91,45.3,11542.2,44.47,3151.72,48.63,T
2038,13708.36,42.27,10741.63,41.39,2966.73,45.77,T
2039,12722.81,39.23,9941.07,38.31,2781.74,42.92,T
2040,11737.26,36.19,9140.51,35.22,2596.75,40.06,T
2041,10751.71,33.15,8339.94,32.14,2411.76,37.21,T
2042,9766.16,30.11,7539.38,29.05,2226.78,34.36,T
2043,8780.61,27.07,6738.82,25.97,2041.79,31.5,T
2044,7795.05,24.03,5938.25,22.88,1856.8,28.65,T
2045,6809.5,21,5137.69,19.8,1671.81,25.79,T
2046,5823.95,17.96,4337.13,16.71,1486.82,22.94,T
2047,4838.4,14.92,3536.57,13.63,1301.84,20.09,T
2048,3852.85,11.88,2736,10.54,1116.85,17.23,T
2049,2867.3,8.84,1935.44,7.46,931.86,14.38,T
2050,1881.75,5.8,1134.88,4.37,746.87,11.52,T
