年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,632466.15,105.29,562941.16,103.72,69524.99,119.97,
2020,622379.85,103.61,560350.94,103.24,62028.91,107.04,
2019,600710.3,100,542758.33,100,57951.97,100,
2018,608404.93,101.28,543275.91,100.1,65129.02,112.38,
2017,612809.13,102.01,537721.56,99.07,75087.57,129.57,
2016,617261.74,102.76,551358.34,101.58,65903.4,113.72,
2015,617204.81,102.75,554002.86,102.07,63201.95,109.06,
2014,645294.98,107.42,579001.57,106.68,66293.41,114.39,
2022,640486.56,106.62,569496.24,104.93,70990.31,122.5,T
2023,648506.96,107.96,576051.33,106.13,72455.64,125.03,T
2024,656527.37,109.29,582606.41,107.34,73920.96,127.56,T
2025,664547.78,110.63,589161.49,108.55,75386.28,130.08,T
2026,672568.18,111.96,595716.58,109.76,76851.61,132.61,T
2027,680588.59,113.3,602271.66,110.96,78316.93,135.14,T
2028,688609,114.63,608826.74,112.17,79782.25,137.67,T
2029,696629.4,115.97,615381.83,113.38,81247.58,140.2,T
2030,704649.81,117.3,621936.91,114.59,82712.9,142.73,T
2031,712670.22,118.64,628491.99,115.8,84178.22,145.26,T
2032,720690.62,119.97,635047.08,117,85643.55,147.78,T
2033,728711.03,121.31,641602.16,118.21,87108.87,150.31,T
2034,736731.44,122.64,648157.24,119.42,88574.19,152.84,T
2035,744751.84,123.98,654712.33,120.63,90039.52,155.37,T
2036,752772.25,125.31,661267.41,121.83,91504.84,157.9,T
2037,760792.66,126.65,667822.49,123.04,92970.16,160.43,T
2038,768813.06,127.98,674377.58,124.25,94435.49,162.95,T
2039,776833.47,129.32,680932.66,125.46,95900.81,165.48,T
2040,784853.88,130.65,687487.74,126.67,97366.13,168.01,T
2041,792874.28,131.99,694042.83,127.87,98831.46,170.54,T
2042,800894.69,133.32,700597.91,129.08,100296.78,173.07,T
2043,808915.1,134.66,707152.99,130.29,101762.1,175.6,T
2044,816935.5,135.99,713708.08,131.5,103227.43,178.13,T
2045,824955.91,137.33,720263.16,132.7,104692.75,180.65,T
2046,832976.32,138.67,726818.24,133.91,106158.07,183.18,T
2047,840996.72,140,733373.33,135.12,107623.4,185.71,T
2048,849017.13,141.34,739928.41,136.33,109088.72,188.24,T
2049,857037.54,142.67,746483.49,137.54,110554.04,190.77,T
2050,865057.94,144.01,753038.58,138.74,112019.37,193.3,T
