分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2005,323996.42
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2005,32861.63
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2005,356858.05
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2008,321788.86
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2008,30992.57
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2008,352781.43
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2009,325737.64
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2009,31348.61
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2009,357086.25
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2010,398436.39
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2010,89546.76999999999
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2010,487983.16000000003
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2011,318074.05000000005
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2011,32181.16
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2011,350255.21
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2012,326104.79000000004
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2012,36733.09
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2012,362837.88
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2014,435887.66
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2014,77691.1
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2014,513578.76
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2015,432499.2299999999
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2015,95171.79
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2015,527671.0199999999
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2016,426324.69000000006
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2016,88660.97
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2016,514985.66000000003
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2017,431067.72
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2017,110794.52
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2017,541862.24
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2018,650716.17
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2018,61990.94
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2018,712707.1100000001
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2019,671789.89
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2019,53810.25
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2019,725600.14
E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2020,706122.93
E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2020,39591.08
E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2020,745714.01
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,321.8549999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,928.7219999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2009,59.352000000000004
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2009,35.391999999999996
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,522.2449999999999
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,1417.77
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2010,92.91399999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,43.086
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,550.9939999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1312.278
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2011,54.788
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,33.039
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,455.75300000000016
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,908.0240000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2012,54.137000000000015
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2012,36.134
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,550.0120000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,628.3109999999999
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2013,75.982
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2013,43.665
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,365.77100000000013
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,398.759
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2014,35.82899999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,20.452
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,450.74099999999993
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,425.16300000000024
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2015,70.889
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,25.294
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,122.953
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,127.759
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2016,19.833000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,12.988
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,289.1230000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,296.377
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2017,51.68599999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,13.584000000000001
E,空氣污染物申報-有害空氣污染物,苯,,,2017,0.116
E,空氣污染物申報-有害空氣污染物,乙苯,,,2017,0.02
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2017,0.004
E,空氣污染物申報-有害空氣污染物,甲苯,,,2017,2.415
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2017,0.099
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,82.982
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,50.03600000000001
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,17.515999999999995
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,8.047
E,空氣污染物申報-有害空氣污染物,苯,,,2018,0.064
E,空氣污染物申報-有害空氣污染物,乙苯,,,2018,0.01
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2018,0.002
E,空氣污染物申報-有害空氣污染物,甲苯,,,2018,0.37700000000000006
E,空氣污染物申報-有害空氣污染物,二甲苯,,,2018,0.055
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,105.095
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,52.586
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,22.583999999999993
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,26.862
E,空氣污染物申報-有害空氣污染物,苯,,,2019,0.22
E,空氣污染物申報-有害空氣污染物,乙苯,,,2019,0.036
E,空氣污染物申報-有害空氣污染物,二氯甲烷,,,2019,0.006
E,空氣污染物申報-有害空氣污染物,甲苯,,,2019,3.326000000000001
