分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,true,公噸CO2e,2022,133.8188
E,溫室氣體排放,範疇二間接排放,true,公噸CO2e,2022,944.4974
E,溫室氣體排放,範疇三其他排放,true,公噸CO2e,2022,NA
E,溫室氣體排放,直接＋間接排放,true,公噸CO2e,2022,1078.3162
E,能源使用狀況,總用電量,true,度（KWh）,2022,1840902.7792505
E,能源使用狀況,再生能源設置量,true,瓩（KW）,2022,0
E,能源使用狀況,再生能源發電量,true,度（KWh）,2022,0
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,無資料。
E,溫室氣體排放,溫室氣體減量承諾,,,2021,無目標
E,水資源,總取水量,true,,2022,4537
E,水資源,回收水量,true,,2022,0
E,水資源,耗用水量,true,,2022,NA
E,水資源,排放水量,true,,2022,NA
E,廢棄物管理,一般事業廢棄物,true,,2022,36.7
E,廢棄物管理,有害事業廢棄物,true,,2022,639.36
E,廢棄物管理,資源化再利用,true,,2022,0
E,環境違規,違反環境法規金額-misc,,元,2011,12000
E,環境違規,違反環境法規次數-misc,,次,2011,2
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
S,員工組成,正式員工,true,人,2022,118
S,員工組成,性別比,true,人,2022,1.1071428571428572
S,員工組成,是否聘用移工,true,人,2022,19
S,員工組成,是否聘用身障人士,true,人,2022,無揭露
S,員工組成,是否聘用原住民,true,人,2022,NA
S,員工薪資,平均薪資,,仟元,2020,648
S,員工薪資,薪資中位數,,仟元,2020,482
S,員工薪資,平均薪資,,仟元,2019,509
S,員工薪資,薪資中位數,,仟元,2019,433
S,員工薪資,平均薪資,,仟元,2018,612
S,職業健康,職災事故,true,,2022,1
S,職業健康,工安意外,true,,2022,是
G,資本額,資本額,,元,2020,306751840
G,資本額,資本額,,元,2019,306751840
G,是否產製CSR報告,是否編撰報告書,true,,,無須編撰
G,是否產製CSR報告,是否編撰報告書,true,,2022,是
G,稅務透明度,營利事業所得稅稅額,true,元,2022,NA
G,稅務透明度,政府補助、補貼金額,true,元,2022,702000
G,稅務透明度,研發投入費用,true,元,2022,NA
G,ISO認證,ISO 9001,true,,2022,否
G,ISO認證,ISO 14001,true,,2022,否
G,ISO認證,ISO 45001,true,,2022,否
G,ISO認證,ISO 50001,true,,2022,否
