分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,1.534
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.148
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,5.016
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,7.232
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,2.4899999999999998
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,3.592
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.612
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.884
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.5940000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.854
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.198
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.284
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.29700000000000004
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.42599999999999993
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,2.792
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2019,0.396
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2019,0.568
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2019,7.026
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.198
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.284
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,1.967
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,0.198
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.284
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,1.9669999999999999
E,環境違規,違反環境法規金額-misc,,元,2012,144000
E,環境違規,違反環境法規次數-misc,,次,2012,3
E,環境違規,違反環境法規金額-空氣,,元,2012,0
E,環境違規,違反環境法規次數-空氣,,次,2012,0
E,環境違規,違反環境法規金額-水,,元,2012,0
E,環境違規,違反環境法規次數-水,,次,2012,0
E,環境違規,違反環境法規金額-misc,,元,2013,369000
E,環境違規,違反環境法規次數-misc,,次,2013,24
E,環境違規,違反環境法規金額-空氣,,元,2013,0
E,環境違規,違反環境法規次數-空氣,,次,2013,0
E,環境違規,違反環境法規金額-水,,元,2013,0
E,環境違規,違反環境法規次數-水,,次,2013,0
E,環境違規,違反環境法規金額-misc,,元,2014,196000
E,環境違規,違反環境法規次數-misc,,次,2014,11
E,環境違規,違反環境法規金額-空氣,,元,2014,0
E,環境違規,違反環境法規次數-空氣,,次,2014,0
E,環境違規,違反環境法規金額-水,,元,2014,0
E,環境違規,違反環境法規次數-水,,次,2014,0
E,環境違規,違反環境法規金額-misc,,元,2015,169200
E,環境違規,違反環境法規次數-misc,,次,2015,7
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,90000
E,環境違規,違反環境法規次數-水,,次,2015,1
E,環境違規,違反環境法規金額-misc,,元,2016,354000
E,環境違規,違反環境法規次數-misc,,次,2016,10
E,環境違規,違反環境法規金額-空氣,,元,2016,0
E,環境違規,違反環境法規次數-空氣,,次,2016,0
E,環境違規,違反環境法規金額-水,,元,2016,0
E,環境違規,違反環境法規次數-水,,次,2016,0
E,環境違規,違反環境法規金額-misc,,元,2017,190200
E,環境違規,違反環境法規次數-misc,,次,2017,10
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,214200
E,環境違規,違反環境法規次數-misc,,次,2018,11
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,133200
E,環境違規,違反環境法規次數-misc,,次,2019,14
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,138000
E,環境違規,違反環境法規次數-misc,,次,2020,12
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
E,環境違規,違反環境法規金額-misc,,元,2021,26400
E,環境違規,違反環境法規次數-misc,,次,2021,4
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,966
S,員工薪資,薪資中位數,,仟元,2020,777
S,員工薪資,平均薪資,,仟元,2019,922
S,員工薪資,薪資中位數,,仟元,2019,700
S,員工薪資,平均薪資,,仟元,2018,862
G,資本額,資本額,,元,2020,1849500000
G,資本額,資本額,,元,2019,1849500000
G,營運狀況,營業收入,,仟元,2020,14468066
G,營運狀況,營業成本,,仟元,2020,12508172
G,營運狀況,營業費用,,仟元,2020,803987
G,營運狀況,淨利,,仟元,2020,1089458
G,營運狀況,營業收入,,仟元,2019,11637322
G,營運狀況,營業成本,,仟元,2019,10204636
G,營運狀況,營業費用,,仟元,2019,714530
G,營運狀況,淨利,,仟元,2019,733133
G,營運狀況,營業收入,,仟元,2018,8646070
G,營運狀況,營業成本,,仟元,2018,7335800
G,營運狀況,營業費用,,仟元,2018,677804
G,營運狀況,淨利,,仟元,2018,731562
G,營運狀況,營業收入,,仟元,2017,7555488
G,營運狀況,營業成本,,仟元,2017,6453367
G,營運狀況,營業費用,,仟元,2017,641690
G,營運狀況,淨利,,仟元,2017,430327
G,營運狀況,營業收入,,仟元,2016,8859147
G,營運狀況,營業成本,,仟元,2016,7401181
G,營運狀況,營業費用,,仟元,2016,678597
G,營運狀況,淨利,,仟元,2016,723112
