分類,子分類,項目,來自公司報告,單位,年份,數值
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2009,0.132
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2009,0.19
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2010,2.154
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2010,3.222
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2010,0.11
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2011,1.311
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2011,1.5459999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2011,1.77
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2012,0.461
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2012,0.6639999999999999
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2013,0.263
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2013,0.379
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2014,0.197
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2014,0.283
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2014,0.242
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2015,0.661
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2015,0.954
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2015,0.43500000000000005
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2016,0.265
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2016,0.383
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2016,0.286
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2017,0.463
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2017,0.6689999999999999
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2017,0.682
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2018,0.8840000000000001
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2018,1.277
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2018,0.091
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2018,1.7710000000000001
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2019,0.09
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2020,0.855
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2020,0.106
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2020,0.030000000000000002
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2020,1.358
E,空氣污染物申報-一般空氣污染物,氮氧化物,,,2021,2.456
E,空氣污染物申報-一般空氣污染物,硫氧化物,,,2021,0.30800000000000005
E,空氣污染物申報-一般空氣污染物,粒狀污染物,,,2021,0.08499999999999998
E,空氣污染物申報-一般空氣污染物,揮發性有機化合物,,,2021,3.298
E,環境違規,違反環境法規金額-misc,,元,2019,6000
E,環境違規,違反環境法規次數-misc,,次,2019,1
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
S,員工薪資,平均薪資,,仟元,2020,764
S,員工薪資,薪資中位數,,仟元,2020,685
S,員工薪資,平均薪資,,仟元,2019,852
S,員工薪資,薪資中位數,,仟元,2019,752
S,員工薪資,平均薪資,,仟元,2018,864
G,資本額,資本額,,元,2020,5049151050
G,資本額,資本額,,元,2019,5049151050
G,營運狀況,營業收入,,仟元,2020,19319962
G,營運狀況,營業成本,,仟元,2020,17019887
G,營運狀況,營業費用,,仟元,2020,1480270
G,營運狀況,淨利,,仟元,2020,722644
G,營運狀況,營業收入,,仟元,2019,20132944
G,營運狀況,營業成本,,仟元,2019,17393058
G,營運狀況,營業費用,,仟元,2019,1873938
G,營運狀況,淨利,,仟元,2019,646849
G,營運狀況,營業收入,,仟元,2018,22479295
G,營運狀況,營業成本,,仟元,2018,18923858
G,營運狀況,營業費用,,仟元,2018,1907103
G,營運狀況,淨利,,仟元,2018,1151729
G,營運狀況,營業收入,,仟元,2017,19826889
G,營運狀況,營業成本,,仟元,2017,16829905
G,營運狀況,營業費用,,仟元,2017,1576232
G,營運狀況,淨利,,仟元,2017,1040841
G,營運狀況,營業收入,,仟元,2016,17674255
G,營運狀況,營業成本,,仟元,2016,14000046
G,營運狀況,營業費用,,仟元,2016,1690382
G,營運狀況,淨利,,仟元,2016,1394733
