年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2019,9617.36,100,156.01,100,9461.35,100,
2018,9914.68,103.09,155.66,99.78,9759.02,103.15,
2017,40536.05,421.49,24153.16,15481.8,16382.89,173.16,
2016,44401.96,461.69,28454.52,18238.91,15947.44,168.55,
2015,42962.08,446.71,27176.36,17419.63,15785.72,166.84,
2014,10099.11,105.01,233.45,149.64,9865.66,104.27,
2013,8118.24,84.41,125,80.12,7993.24,84.48,
2020,0,0,0,0,7299.32,77.15,T
2021,0,0,0,0,5137.29,54.3,T
2022,0,0,0,0,2975.26,31.45,T
2023,0,0,0,0,813.23,8.6,T
2024,0,0,0,0,0,0,T
2025,0,0,0,0,0,0,T
2026,0,0,0,0,0,0,T
2027,0,0,0,0,0,0,T
2028,0,0,0,0,0,0,T
2029,0,0,0,0,0,0,T
2030,0,0,0,0,0,0,T
2031,0,0,0,0,0,0,T
2032,0,0,0,0,0,0,T
2033,0,0,0,0,0,0,T
2034,0,0,0,0,0,0,T
2035,0,0,0,0,0,0,T
2036,0,0,0,0,0,0,T
2037,0,0,0,0,0,0,T
2038,0,0,0,0,0,0,T
2039,0,0,0,0,0,0,T
2040,0,0,0,0,0,0,T
2041,0,0,0,0,0,0,T
2042,0,0,0,0,0,0,T
2043,0,0,0,0,0,0,T
2044,0,0,0,0,0,0,T
2045,0,0,0,0,0,0,T
2046,0,0,0,0,0,0,T
2047,0,0,0,0,0,0,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
