年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2021,30970.5,98.53,26479.72,99.01,4490.78,95.8,
2020,32785.28,104.31,28162,105.3,4623.28,98.63,
2019,31431.27,100,26743.71,100,4687.56,100,
2018,32662.3,103.92,27880.29,104.25,4782.01,102.01,
2017,31586.09,100.49,26418.27,98.78,5167.82,110.25,
2016,35172.35,111.9,30107.6,112.58,5064.75,108.05,
2015,35322.09,112.38,30308.41,113.33,5013.68,106.96,
2022,30406.57,96.74,26012.86,97.27,4393.7,93.73,T
2023,29842.63,94.95,25546.01,95.52,4296.63,91.66,T
2024,29278.7,93.15,25079.15,93.78,4199.55,89.59,T
2025,28714.77,91.36,24612.29,92.03,4102.47,87.52,T
2026,28150.83,89.56,24145.44,90.28,4005.4,85.45,T
2027,27586.9,87.77,23678.58,88.54,3908.32,83.38,T
2028,27022.97,85.97,23211.72,86.79,3811.24,81.31,T
2029,26459.03,84.18,22744.87,85.05,3714.17,79.23,T
2030,25895.1,82.39,22278.01,83.3,3617.09,77.16,T
2031,25331.17,80.59,21811.15,81.56,3520.01,75.09,T
2032,24767.23,78.8,21344.3,79.81,3422.94,73.02,T
2033,24203.3,77,20877.44,78.06,3325.86,70.95,T
2034,23639.37,75.21,20410.58,76.32,3228.78,68.88,T
2035,23075.43,73.42,19943.73,74.57,3131.71,66.81,T
2036,22511.5,71.62,19476.87,72.83,3034.63,64.74,T
2037,21947.57,69.83,19010.01,71.08,2937.55,62.67,T
2038,21383.63,68.03,18543.16,69.34,2840.48,60.6,T
2039,20819.7,66.24,18076.3,67.59,2743.4,58.53,T
2040,20255.77,64.44,17609.44,65.85,2646.32,56.45,T
2041,19691.83,62.65,17142.59,64.1,2549.25,54.38,T
2042,19127.9,60.86,16675.73,62.35,2452.17,52.31,T
2043,18563.97,59.06,16208.87,60.61,2355.09,50.24,T
2044,18000.03,57.27,15742.02,58.86,2258.02,48.17,T
2045,17436.1,55.47,15275.16,57.12,2160.94,46.1,T
2046,16872.17,53.68,14808.3,55.37,2063.86,44.03,T
2047,16308.23,51.89,14341.45,53.63,1966.79,41.96,T
2048,15744.3,50.09,13874.59,51.88,1869.71,39.89,T
2049,15180.37,48.3,13407.73,50.13,1772.63,37.82,T
2050,14616.43,46.5,12940.88,48.39,1675.56,35.74,T
