分類,子分類,項目,來自公司報告,單位,年份,數值
E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
E,環境違規,違反環境法規金額-misc,,元,2010,9000
E,環境違規,違反環境法規次數-misc,,次,2010,2
E,環境違規,違反環境法規金額-空氣,,元,2010,0
E,環境違規,違反環境法規次數-空氣,,次,2010,0
E,環境違規,違反環境法規金額-水,,元,2010,0
E,環境違規,違反環境法規次數-水,,次,2010,0
E,環境違規,違反環境法規金額-misc,,元,2011,6000
E,環境違規,違反環境法規次數-misc,,次,2011,1
E,環境違規,違反環境法規金額-空氣,,元,2011,0
E,環境違規,違反環境法規次數-空氣,,次,2011,0
E,環境違規,違反環境法規金額-水,,元,2011,0
E,環境違規,違反環境法規次數-水,,次,2011,0
E,環境違規,違反環境法規金額-misc,,元,2015,100000
E,環境違規,違反環境法規次數-misc,,次,2015,1
E,環境違規,違反環境法規金額-空氣,,元,2015,0
E,環境違規,違反環境法規次數-空氣,,次,2015,0
E,環境違規,違反環境法規金額-水,,元,2015,0
E,環境違規,違反環境法規次數-水,,次,2015,0
E,環境違規,違反環境法規金額-misc,,元,2017,31200
E,環境違規,違反環境法規次數-misc,,次,2017,2
E,環境違規,違反環境法規金額-空氣,,元,2017,0
E,環境違規,違反環境法規次數-空氣,,次,2017,0
E,環境違規,違反環境法規金額-水,,元,2017,0
E,環境違規,違反環境法規次數-水,,次,2017,0
E,環境違規,違反環境法規金額-misc,,元,2018,7200
E,環境違規,違反環境法規次數-misc,,次,2018,3
E,環境違規,違反環境法規金額-空氣,,元,2018,0
E,環境違規,違反環境法規次數-空氣,,次,2018,0
E,環境違規,違反環境法規金額-水,,元,2018,0
E,環境違規,違反環境法規次數-水,,次,2018,0
E,環境違規,違反環境法規金額-misc,,元,2019,7800
E,環境違規,違反環境法規次數-misc,,次,2019,3
E,環境違規,違反環境法規金額-空氣,,元,2019,0
E,環境違規,違反環境法規次數-空氣,,次,2019,0
E,環境違規,違反環境法規金額-水,,元,2019,0
E,環境違規,違反環境法規次數-水,,次,2019,0
E,環境違規,違反環境法規金額-misc,,元,2020,11400
E,環境違規,違反環境法規次數-misc,,次,2020,3
E,環境違規,違反環境法規金額-空氣,,元,2020,0
E,環境違規,違反環境法規次數-空氣,,次,2020,0
E,環境違規,違反環境法規金額-水,,元,2020,0
E,環境違規,違反環境法規次數-水,,次,2020,0
E,環境違規,違反環境法規金額-misc,,元,2021,9000
E,環境違規,違反環境法規次數-misc,,次,2021,3
E,環境違規,違反環境法規金額-空氣,,元,2021,0
E,環境違規,違反環境法規次數-空氣,,次,2021,0
E,環境違規,違反環境法規金額-水,,元,2021,0
E,環境違規,違反環境法規次數-水,,次,2021,0
S,員工薪資,平均薪資,,仟元,2020,586
S,員工薪資,薪資中位數,,仟元,2020,502
S,員工薪資,平均薪資,,仟元,2019,555
S,員工薪資,薪資中位數,,仟元,2019,452
S,員工薪資,平均薪資,,仟元,2018,553
G,資本額,資本額,,元,2020,2374837880
G,資本額,資本額,,元,2019,2374837880
G,營運狀況,營業收入,,仟元,2020,6406216
G,營運狀況,營業成本,,仟元,2020,6230164
G,營運狀況,營業費用,,仟元,2020,96268
G,營運狀況,淨利,,仟元,2020,51668
G,營運狀況,營業收入,,仟元,2019,5620826
G,營運狀況,營業成本,,仟元,2019,5410366
G,營運狀況,營業費用,,仟元,2019,173656
G,營運狀況,淨利,,仟元,2019,20327
G,營運狀況,營業收入,,仟元,2018,4457132
G,營運狀況,營業成本,,仟元,2018,4825454
G,營運狀況,營業費用,,仟元,2018,148126
G,營運狀況,淨利,,仟元,2018,-522550
G,營運狀況,營業收入,,仟元,2017,4010127
G,營運狀況,營業成本,,仟元,2017,3844359
G,營運狀況,營業費用,,仟元,2017,140884
G,營運狀況,淨利,,仟元,2017,3568
G,營運狀況,營業收入,,仟元,2016,4643975
G,營運狀況,營業成本,,仟元,2016,4485628
G,營運狀況,營業費用,,仟元,2016,135414
G,營運狀況,淨利,,仟元,2016,107385
